year,scenario,weight,fuel_cost,grid_import_cost,grid_export_revenue,res_subsidy_revenue,annual_variable_cost,fixed_om_res,fixed_om_battery,fixed_om_generator,fixed_om_total,lost_load_penalty,scope1_emissions,scope2_emissions,scope3_res_emissions,scope3_battery_emissions,scope3_generator_emissions,scope3_emissions,total_emissions,scope1_emissions_cost,scope2_emissions_cost,scope3_res_emissions_cost,scope3_battery_emissions_cost,scope3_generator_emissions_cost,emissions_cost,total_operating_cost
2026,scenario_1,1.0,28861.242866434895,0.0,0.0,0.0,28861.242866434895,13811.284513805524,13629.714667969676,728.9806338782455,28169.979815653445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57031.22268208834
2027,scenario_1,1.0,28866.242422309104,0.0,0.0,0.0,28866.242422309104,13811.284513805524,13629.714667969676,728.9806338782455,28169.979815653445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57036.222237962545
2028,scenario_1,1.0,28866.24242230911,0.0,0.0,0.0,28866.24242230911,13811.284513805524,13629.714667969676,728.9806338782455,28169.979815653445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57036.22223796255
2029,scenario_1,1.0,28866.242422309107,0.0,0.0,0.0,28866.242422309107,13811.284513805524,13629.714667969676,728.9806338782455,28169.979815653445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57036.22223796255
2030,scenario_1,1.0,28866.24242230911,0.0,0.0,0.0,28866.24242230911,13811.284513805524,13629.714667969676,728.9806338782455,28169.979815653445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57036.22223796255
2031,scenario_1,1.0,28866.242422309115,0.0,0.0,0.0,28866.242422309115,13811.284513805524,13629.714667969676,728.9806338782455,28169.979815653445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57036.22223796255
2032,scenario_1,1.0,28866.242422309104,0.0,0.0,0.0,28866.242422309104,13811.284513805524,13629.714667969676,728.9806338782455,28169.979815653445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57036.222237962545
2033,scenario_1,1.0,28866.242422309104,0.0,0.0,0.0,28866.242422309104,13811.284513805524,13629.714667969676,728.9806338782455,28169.979815653445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57036.222237962545
2034,scenario_1,1.0,28866.242422309107,0.0,0.0,0.0,28866.242422309107,13811.284513805524,13629.714667969676,728.9806338782455,28169.979815653445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57036.22223796255
2035,scenario_1,1.0,28866.24242230912,0.0,0.0,0.0,28866.24242230912,13811.284513805524,13629.714667969676,728.9806338782455,28169.979815653445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57036.22223796256
2026,Expected,1.0,28861.242866434895,0.0,0.0,0.0,28861.242866434895,13811.284513805524,13629.714667969676,728.9806338782455,28169.979815653445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57031.22268208834
2027,Expected,1.0,28866.242422309104,0.0,0.0,0.0,28866.242422309104,13811.284513805524,13629.714667969676,728.9806338782455,28169.979815653445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57036.222237962545
2028,Expected,1.0,28866.24242230911,0.0,0.0,0.0,28866.24242230911,13811.284513805524,13629.714667969676,728.9806338782455,28169.979815653445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57036.22223796255
2029,Expected,1.0,28866.242422309107,0.0,0.0,0.0,28866.242422309107,13811.284513805524,13629.714667969676,728.9806338782455,28169.979815653445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57036.22223796255
2030,Expected,1.0,28866.24242230911,0.0,0.0,0.0,28866.24242230911,13811.284513805524,13629.714667969676,728.9806338782455,28169.979815653445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57036.22223796255
2031,Expected,1.0,28866.242422309115,0.0,0.0,0.0,28866.242422309115,13811.284513805524,13629.714667969676,728.9806338782455,28169.979815653445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57036.22223796255
2032,Expected,1.0,28866.242422309104,0.0,0.0,0.0,28866.242422309104,13811.284513805524,13629.714667969676,728.9806338782455,28169.979815653445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57036.222237962545
2033,Expected,1.0,28866.242422309104,0.0,0.0,0.0,28866.242422309104,13811.284513805524,13629.714667969676,728.9806338782455,28169.979815653445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57036.222237962545
2034,Expected,1.0,28866.242422309107,0.0,0.0,0.0,28866.242422309107,13811.284513805524,13629.714667969676,728.9806338782455,28169.979815653445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57036.22223796255
2035,Expected,1.0,28866.24242230912,0.0,0.0,0.0,28866.24242230912,13811.284513805524,13629.714667969676,728.9806338782455,28169.979815653445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57036.22223796256
