year,scenario,total_demand_kwh,served_energy_kwh,lost_load_kwh,lost_load_fraction,total_res_kwh,renewable_potential_kwh,renewable_curtailment_kwh,renewable_curtailment_share,generator_generation_kwh,grid_import_raw_kwh,grid_import_delivered_kwh,grid_export_delivered_kwh,grid_renewable_kwh,renewable_penetration,fuel_consumption,scope1_emissions_kgco2e,scope2_emissions_kgco2e,scope3_emissions_kgco2e,emissions_kgco2e,objective_value
2026,scenario_1,1059055.8900000001,1059055.8900000001,0.0,0.0,1017216.1310119503,1427787.6145126051,410571.4835006548,0.2875578127499089,72153.10716608784,0.0,0.0,0.0,0.0,0.9337661606024755,24051.03572202928,0.0,0.0,0.0,0.0,1526965.8101029773
2027,scenario_1,1059055.8900000001,1059055.8900000001,0.0,0.0,1017512.4210535329,1427787.6145126051,410275.19345907227,0.28735029586254346,72165.60605577336,0.0,0.0,0.0,0.0,0.933773459443599,24055.20201859112,0.0,0.0,0.0,0.0,1526965.8101029773
2028,scenario_1,1059055.8900000001,1059055.8900000001,0.0,0.0,1017513.0687992745,1427787.6145126051,410274.5457133306,0.28734984219160875,72165.60605577337,0.0,0.0,0.0,0.0,0.9337734988111307,24055.20201859112,0.0,0.0,0.0,0.0,1526965.8101029773
2029,scenario_1,1059055.8900000001,1059055.8900000001,0.0,0.0,1017520.3564998016,1427787.6145126051,410267.2580128035,0.2873447380007242,72165.60605577336,0.0,0.0,0.0,0.0,0.9337739417267268,24055.20201859112,0.0,0.0,0.0,0.0,1526965.8101029773
2030,scenario_1,1059055.8900000001,1059055.8900000001,0.0,0.0,1017532.165007951,1427787.6145126051,410255.44950465416,0.2873364675072493,72165.60605577336,0.0,0.0,0.0,0.0,0.9337746593853011,24055.20201859112,0.0,0.0,0.0,0.0,1526965.8101029773
2031,scenario_1,1059055.8900000001,1059055.8900000001,0.0,0.0,1017549.9622516143,1427787.6145126051,410237.6522609908,0.28732400259756496,72165.60605577336,0.0,0.0,0.0,0.0,0.9337757409781111,24055.20201859112,0.0,0.0,0.0,0.0,1526965.8101029773
2032,scenario_1,1059055.8900000001,1059055.8900000001,0.0,0.0,1017590.4327548996,1427787.6145126051,410197.1817577055,0.2872956576932711,72165.60605577336,0.0,0.0,0.0,0.0,0.9337782003625943,24055.20201859112,0.0,0.0,0.0,0.0,1526965.8101029773
2033,scenario_1,1059055.8900000001,1059055.8900000001,0.0,0.0,1017603.8716719041,1427787.6145126051,410183.742840701,0.28728624528706453,72165.60605577336,0.0,0.0,0.0,0.0,0.9337790170025235,24055.20201859112,0.0,0.0,0.0,0.0,1526965.8101029773
2034,scenario_1,1059055.8900000001,1059055.8900000001,0.0,0.0,1017611.5323949946,1427787.6145126051,410176.0821176105,0.28728087983704054,72165.60605577337,0.0,0.0,0.0,0.0,0.9337794825111083,24055.20201859112,0.0,0.0,0.0,0.0,1526965.8101029773
2035,scenario_1,1059055.8900000001,1059055.8900000001,0.0,0.0,1017273.259606828,1427787.6145126051,410514.35490577715,0.28751780078013345,72165.60605577337,0.0,0.0,0.0,0.0,0.9337589209176212,24055.20201859112,0.0,0.0,0.0,0.0,1526965.8101029773
2026,expected,1059055.8900000001,1059055.8900000001,0.0,0.0,1017216.1310119503,1427787.6145126051,410571.4835006548,0.2875578127499089,72153.10716608784,0.0,0.0,0.0,0.0,0.9337661606024755,24051.03572202928,0.0,0.0,0.0,0.0,1526965.8101029773
2027,expected,1059055.8900000001,1059055.8900000001,0.0,0.0,1017512.4210535329,1427787.6145126051,410275.19345907227,0.28735029586254346,72165.60605577336,0.0,0.0,0.0,0.0,0.933773459443599,24055.20201859112,0.0,0.0,0.0,0.0,1526965.8101029773
2028,expected,1059055.8900000001,1059055.8900000001,0.0,0.0,1017513.0687992745,1427787.6145126051,410274.5457133306,0.28734984219160875,72165.60605577337,0.0,0.0,0.0,0.0,0.9337734988111307,24055.20201859112,0.0,0.0,0.0,0.0,1526965.8101029773
2029,expected,1059055.8900000001,1059055.8900000001,0.0,0.0,1017520.3564998016,1427787.6145126051,410267.2580128035,0.2873447380007242,72165.60605577336,0.0,0.0,0.0,0.0,0.9337739417267268,24055.20201859112,0.0,0.0,0.0,0.0,1526965.8101029773
2030,expected,1059055.8900000001,1059055.8900000001,0.0,0.0,1017532.165007951,1427787.6145126051,410255.44950465416,0.2873364675072493,72165.60605577336,0.0,0.0,0.0,0.0,0.9337746593853011,24055.20201859112,0.0,0.0,0.0,0.0,1526965.8101029773
2031,expected,1059055.8900000001,1059055.8900000001,0.0,0.0,1017549.9622516143,1427787.6145126051,410237.6522609908,0.28732400259756496,72165.60605577336,0.0,0.0,0.0,0.0,0.9337757409781111,24055.20201859112,0.0,0.0,0.0,0.0,1526965.8101029773
2032,expected,1059055.8900000001,1059055.8900000001,0.0,0.0,1017590.4327548996,1427787.6145126051,410197.1817577055,0.2872956576932711,72165.60605577336,0.0,0.0,0.0,0.0,0.9337782003625943,24055.20201859112,0.0,0.0,0.0,0.0,1526965.8101029773
2033,expected,1059055.8900000001,1059055.8900000001,0.0,0.0,1017603.8716719041,1427787.6145126051,410183.742840701,0.28728624528706453,72165.60605577336,0.0,0.0,0.0,0.0,0.9337790170025235,24055.20201859112,0.0,0.0,0.0,0.0,1526965.8101029773
2034,expected,1059055.8900000001,1059055.8900000001,0.0,0.0,1017611.5323949946,1427787.6145126051,410176.0821176105,0.28728087983704054,72165.60605577337,0.0,0.0,0.0,0.0,0.9337794825111083,24055.20201859112,0.0,0.0,0.0,0.0,1526965.8101029773
2035,expected,1059055.8900000001,1059055.8900000001,0.0,0.0,1017273.259606828,1427787.6145126051,410514.35490577715,0.28751780078013345,72165.60605577337,0.0,0.0,0.0,0.0,0.9337589209176212,24055.20201859112,0.0,0.0,0.0,0.0,1526965.8101029773
