year,discount_factor,annuity_res,annuity_battery,annuity_generator,opex_expected,externalities_expected,embedded_expected,total_before_discount,discounted_total,post_horizon_annuity_tail_discounted,discounted_objective_contribution
2026,0.9523809523809523,48997.22873566487,88255.52024879312,3459.681406273197,28861.242866434895,0.0,0.0,169573.67325716605,161498.73643539625,0.0,161498.73643539625
2027,0.9070294784580498,48997.22873566487,88255.52024879312,3459.681406273197,28866.242422309104,0.0,0.0,169578.67281304026,153812.85515922017,0.0,153812.85515922017
2028,0.863837598531476,48997.22873566487,88255.52024879312,3459.681406273197,28866.24242230911,0.0,0.0,169578.6728130403,146488.43348497164,0.0,146488.43348497164
2029,0.8227024747918819,48997.22873566487,88255.52024879312,3459.681406273197,28866.242422309107,0.0,0.0,169578.67281304026,139512.79379521104,0.0,139512.79379521104
2030,0.7835261664684589,48997.22873566487,88255.52024879312,3459.681406273197,28866.24242230911,0.0,0.0,169578.6728130403,132869.32742401052,0.0,132869.32742401052
2031,0.7462153966366274,48997.22873566487,88255.52024879312,3459.681406273197,28866.242422309115,0.0,0.0,169578.6728130403,126542.21659429572,0.0,126542.21659429572
2032,0.7106813301301214,48997.22873566487,88255.52024879312,3459.681406273197,28866.242422309104,0.0,0.0,169578.67281304026,120516.3967564721,0.0,120516.3967564721
2033,0.676839362028687,48997.22873566487,88255.52024879312,3459.681406273197,28866.242422309104,0.0,0.0,169578.67281304026,114777.52072044963,0.0,114777.52072044963
2034,0.6446089162177971,48997.22873566487,88255.52024879312,3459.681406273197,28866.242422309107,0.0,0.0,169578.67281304026,109311.9244956663,0.0,109311.9244956663
2035,0.6139132535407591,48997.22873566487,88255.52024879312,3459.681406273197,28866.24242230912,0.0,0.0,169578.6728130403,104106.59475777744,312220.61312883464,104106.59475777744
