meta;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1
hour;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035
73;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941
74;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101
75;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101
76;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381
77;34,165;34,165;34,165;34,165;34,165;34,165;34,165;34,165;34,165;34,165
78;51,465;51,465;51,465;51,465;51,465;51,465;51,465;51,465;51,465;51,465
79;63,629;63,629;63,629;63,629;63,629;63,629;63,629;63,629;63,629;63,629
80;52,661;52,661;52,661;52,661;52,661;52,661;52,661;52,661;52,661;52,661
81;56,951;56,951;56,951;56,951;56,951;56,951;56,951;56,951;56,951;56,951
82;57,119;57,119;57,119;57,119;57,119;57,119;57,119;57,119;57,119;57,119
83;52,259;52,259;52,259;52,259;52,259;52,259;52,259;52,259;52,259;52,259
84;42,623;42,623;42,623;42,623;42,623;42,623;42,623;42,623;42,623;42,623
85;43,487;43,487;43,487;43,487;43,487;43,487;43,487;43,487;43,487;43,487
86;41,327;41,327;41,327;41,327;41,327;41,327;41,327;41,327;41,327;41,327
87;48,127;48,127;48,127;48,127;48,127;48,127;48,127;48,127;48,127;48,127
88;55,167;55,167;55,167;55,167;55,167;55,167;55,167;55,167;55,167;55,167
89;72,387;72,387;72,387;72,387;72,387;72,387;72,387;72,387;72,387;72,387
90;80,067;80,067;80,067;80,067;80,067;80,067;80,067;80,067;80,067;80,067
91;69,965;69,965;69,965;69,965;69,965;69,965;69,965;69,965;69,965;69,965
92;51,829;51,829;51,829;51,829;51,829;51,829;51,829;51,829;51,829;51,829
93;51,709;51,709;51,709;51,709;51,709;51,709;51,709;51,709;51,709;51,709
94;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381
95;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941
96;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941
97;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941
98;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101
99;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101
100;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381
101;34,165;34,165;34,165;34,165;34,165;34,165;34,165;34,165;34,165;34,165
102;51,465;51,465;51,465;51,465;51,465;51,465;51,465;51,465;51,465;51,465
103;63,629;63,629;63,629;63,629;63,629;63,629;63,629;63,629;63,629;63,629
104;52,661;52,661;52,661;52,661;52,661;52,661;52,661;52,661;52,661;52,661
105;56,951;56,951;56,951;56,951;56,951;56,951;56,951;56,951;56,951;56,951
106;57,119;57,119;57,119;57,119;57,119;57,119;57,119;57,119;57,119;57,119
107;52,259;52,259;52,259;52,259;52,259;52,259;52,259;52,259;52,259;52,259
108;42,623;42,623;42,623;42,623;42,623;42,623;42,623;42,623;42,623;42,623
109;43,487;43,487;43,487;43,487;43,487;43,487;43,487;43,487;43,487;43,487
110;41,327;41,327;41,327;41,327;41,327;41,327;41,327;41,327;41,327;41,327
111;48,127;48,127;48,127;48,127;48,127;48,127;48,127;48,127;48,127;48,127
112;55,167;55,167;55,167;55,167;55,167;55,167;55,167;55,167;55,167;55,167
113;72,387;72,387;72,387;72,387;72,387;72,387;72,387;72,387;72,387;72,387
114;80,067;80,067;80,067;80,067;80,067;80,067;80,067;80,067;80,067;80,067
115;69,965;69,965;69,965;69,965;69,965;69,965;69,965;69,965;69,965;69,965
116;51,829;51,829;51,829;51,829;51,829;51,829;51,829;51,829;51,829;51,829
117;51,709;51,709;51,709;51,709;51,709;51,709;51,709;51,709;51,709;51,709
118;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381
119;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941
120;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941
121;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941
122;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101
123;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101
124;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381
125;34,165;34,165;34,165;34,165;34,165;34,165;34,165;34,165;34,165;34,165
126;51,465;51,465;51,465;51,465;51,465;51,465;51,465;51,465;51,465;51,465
127;63,629;63,629;63,629;63,629;63,629;63,629;63,629;63,629;63,629;63,629
128;52,661;52,661;52,661;52,661;52,661;52,661;52,661;52,661;52,661;52,661
129;56,951;56,951;56,951;56,951;56,951;56,951;56,951;56,951;56,951;56,951
130;57,119;57,119;57,119;57,119;57,119;57,119;57,119;57,119;57,119;57,119
131;52,259;52,259;52,259;52,259;52,259;52,259;52,259;52,259;52,259;52,259
132;42,623;42,623;42,623;42,623;42,623;42,623;42,623;42,623;42,623;42,623
