meta,scenario_1,scenario_1,scenario_1,scenario_1,scenario_1
hour,2026,2027,2028,2029,2030
143,4.68,4.68,4.68,4.68,4.68
144,34.847,34.847,34.847,34.847,34.847
145,39.392,39.392,39.392,39.392,39.392
146,42.502,42.502,42.502,42.502,42.502
147,5.03,5.03,5.03,5.03,5.03
148,71.297,71.297,71.297,71.297,71.297
149,90.447,90.447,90.447,90.447,90.447
150,117.461,117.461,117.461,117.461,117.461
151,159.593,159.593,159.593,159.593,159.593
152,195.645,195.645,195.645,195.645,195.645
153,16.893,16.893,16.893,16.893,16.893
154,15.289,15.289,15.289,15.289,15.289
155,147.754,147.754,147.754,147.754,147.754
156,153.366,153.366,153.366,153.366,153.366
157,139.525,139.525,139.525,139.525,139.525
158,14.199,14.199,14.199,14.199,14.199
159,179.034,179.034,179.034,179.034,179.034
160,192.013,192.013,192.013,192.013,192.013
161,212.714,212.714,212.714,212.714,212.714
162,240.332,240.332,240.332,240.332,240.332
163,24.314,24.314,24.314,24.314,24.314
164,183.668,183.668,183.668,183.668,183.668
165,123.943,123.943,123.943,123.943,123.943
166,83.577,83.577,83.577,83.577,83.577
167,29.072,29.072,29.072,29.072,29.072
168,24.505,24.505,24.505,24.505,24.505
169,41.707,41.707,41.707,41.707,41.707
170,47.206,47.206,47.206,47.206,47.206
171,52.219,52.219,52.219,52.219,52.219
172,53.264,53.264,53.264,53.264,53.264
173,80.661,80.661,80.661,80.661,80.661
174,109.809,109.809,109.809,109.809,109.809
175,213.574,213.574,213.574,213.574,213.574
176,261.002,261.002,261.002,261.002,261.002
177,215.615,215.615,215.615,215.615,215.615
178,137.999,137.999,137.999,137.999,137.999
179,109.261,109.261,109.261,109.261,109.261
180,91.739,91.739,91.739,91.739,91.739
181,136.618,136.618,136.618,136.618,136.618
182,131.241,131.241,131.241,131.241,131.241
183,129.793,129.793,129.793,129.793,129.793
184,158.964,158.964,158.964,158.964,158.964
185,198.091,198.091,198.091,198.091,198.091
186,260.525,260.525,260.525,260.525,260.525
187,27.428,27.428,27.428,27.428,27.428
188,244.514,244.514,244.514,244.514,244.514
189,162.426,162.426,162.426,162.426,162.426
190,64.634,64.634,64.634,64.634,64.634
191,22.484,22.484,22.484,22.484,22.484
192,34.051,34.051,34.051,34.051,34.051
193,38.322,38.322,38.322,38.322,38.322
194,43.615,43.615,43.615,43.615,43.615
195,58.588,58.588,58.588,58.588,58.588
196,62.924,62.924,62.924,62.924,62.924
197,7.581,7.581,7.581,7.581,7.581
198,117.617,117.617,117.617,117.617,117.617
199,213.759,213.759,213.759,213.759,213.759
200,240.851,240.851,240.851,240.851,240.851
201,199.894,199.894,199.894,199.894,199.894
202,13.515,13.515,13.515,13.515,13.515
203,104.974,104.974,104.974,104.974,104.974
204,101.748,101.748,101.748,101.748,101.748
205,107.169,107.169,107.169,107.169,107.169
206,127.397,127.397,127.397,127.397,127.397
207,173.703,173.703,173.703,173.703,173.703
208,158.833,158.833,158.833,158.833,158.833
209,18.029,18.029,18.029,18.029,18.029
210,275.309,275.309,275.309,275.309,275.309
211,302.939,302.939,302.939,302.939,302.939
212,232.519,232.519,232.519,232.519,232.519
213,167.882,167.882,167.882,167.882,167.882
214,81.605,81.605,81.605,81.605,81.605
215,40.643,40.643,40.643,40.643,40.643
216,40.723,40.723,40.723,40.723,40.723
217,43.155,43.155,43.155,43.155,43.155
218,4.803,4.803,4.803,4.803,4.803
219,44.011,44.011,44.011,44.011,44.011
220,57.522,57.522,57.522,57.522,57.522
221,75.679,75.679,75.679,75.679,75.679
222,119.228,119.228,119.228,119.228,119.228
223,206.952,206.952,206.952,206.952,206.952
224,266.586,266.586,266.586,266.586,266.586
225,221.717,221.717,221.717,221.717,221.717
226,162.313,162.313,162.313,162.313,162.313
227,118.991,118.991,118.991,118.991,118.991
228,109.363,109.363,109.363,109.363,109.363
229,118.957,118.957,118.957,118.957,118.957
230,117.438,117.438,117.438,117.438,117.438
231,118.556,118.556,118.556,118.556,118.556
232,150.415,150.415,150.415,150.415,150.415
233,191.489,191.489,191.489,191.489,191.489
234,250.364,250.364,250.364,250.364,250.364
235,295.931,295.931,295.931,295.931,295.931
236,264.222,264.222,264.222,264.222,264.222
237,162.736,162.736,162.736,162.736,162.736
238,76.321,76.321,76.321,76.321,76.321
239,39.766,39.766,39.766,39.766,39.766
240,32.462,32.462,32.462,32.462,32.462
241,36.646,36.646,36.646,36.646,36.646
242,43.386,43.386,43.386,43.386,43.386
243,43.525,43.525,43.525,43.525,43.525
244,48.406,48.406,48.406,48.406,48.406
245,6.235,6.235,6.235,6.235,6.235
246,121.702,121.702,121.702,121.702,121.702
247,202.958,202.958,202.958,202.958,202.958
248,274.728,274.728,274.728,274.728,274.728
249,215.765,215.765,215.765,215.765,215.765
250,12.296,12.296,12.296,12.296,12.296
251,90.644,90.644,90.644,90.644,90.644
252,100.865,100.865,100.865,100.865,100.865
253,109.543,109.543,109.543,109.543,109.543
254,121.762,121.762,121.762,121.762,121.762
255,137.641,137.641,137.641,137.641,137.641
256,148.314,148.314,148.314,148.314,148.314
257,186.548,186.548,186.548,186.548,186.548
258,265.903,265.903,265.903,265.903,265.903
259,311.866,311.866,311.866,311.866,311.866
260,246.603,246.603,246.603,246.603,246.603
261,150.698,150.698,150.698,150.698,150.698
262,70.403,70.403,70.403,70.403,70.403
263,35.467,35.467,35.467,35.467,35.467
264,16.505,16.505,16.505,16.505,16.505
265,25.835,25.835,25.835,25.835,25.835
266,25.991,25.991,25.991,25.991,25.991
267,39.639,39.639,39.639,39.639,39.639
268,58.798,58.798,58.798,58.798,58.798
269,6.723,6.723,6.723,6.723,6.723
270,128.894,128.894,128.894,128.894,128.894
271,224.682,224.682,224.682,224.682,224.682
272,244.211,244.211,244.211,244.211,244.211
273,203.122,203.122,203.122,203.122,203.122
274,134.419,134.419,134.419,134.419,134.419
275,11.089,11.089,11.089,11.089,11.089
276,99.174,99.174,99.174,99.174,99.174
277,122.954,122.954,122.954,122.954,122.954
278,143.608,143.608,143.608,143.608,143.608
279,12.38,12.38,12.38,12.38,12.38
280,136.234,136.234,136.234,136.234,136.234
281,198.589,198.589,198.589,198.589,198.589
282,252.598,252.598,252.598,252.598,252.598
283,276.946,276.946,276.946,276.946,276.946
284,240.634,240.634,240.634,240.634,240.634
285,159.965,159.965,159.965,159.965,159.965
286,77.651,77.651,77.651,77.651,77.651
287,33.494,33.494,33.494,33.494,33.494
288,34.833,34.833,34.833,34.833,34.833
289,41.576,41.576,41.576,41.576,41.576
290,48.211,48.211,48.211,48.211,48.211
291,56.722,56.722,56.722,56.722,56.722
292,62.415,62.415,62.415,62.415,62.415
293,84.527,84.527,84.527,84.527,84.527
294,124.181,124.181,124.181,124.181,124.181
295,172.512,172.512,172.512,172.512,172.512
296,185.447,185.447,185.447,185.447,185.447
297,172.557,172.557,172.557,172.557,172.557
298,157.123,157.123,157.123,157.123,157.123
299,136.774,136.774,136.774,136.774,136.774
300,126.677,126.677,126.677,126.677,126.677
301,131.617,131.617,131.617,131.617,131.617
302,170.543,170.543,170.543,170.543,170.543
303,159.121,159.121,159.121,159.121,159.121
304,200.936,200.936,200.936,200.936,200.936
305,211.396,211.396,211.396,211.396,211.396
306,248.949,248.949,248.949,248.949,248.949
307,238.885,238.885,238.885,238.885,238.885
308,181.258,181.258,181.258,181.258,181.258
309,110.771,110.771,110.771,110.771,110.771
310,62.486,62.486,62.486,62.486,62.486
311,41.654,41.654,41.654,41.654,41.654
312,15.209,15.209,15.209,15.209,15.209
313,24.047,24.047,24.047,24.047,24.047
314,34.993,34.993,34.993,34.993,34.993
315,5.647,5.647,5.647,5.647,5.647
316,58.212,58.212,58.212,58.212,58.212
317,82.321,82.321,82.321,82.321,82.321
318,13.423,13.423,13.423,13.423,13.423
319,165.257,165.257,165.257,165.257,165.257
320,180.093,180.093,180.093,180.093,180.093
321,188.097,188.097,188.097,188.097,188.097
322,158.555,158.555,158.555,158.555,158.555
323,177.908,177.908,177.908,177.908,177.908
324,146.964,146.964,146.964,146.964,146.964
325,122.757,122.757,122.757,122.757,122.757
326,141.836,141.836,141.836,141.836,141.836
327,156.463,156.463,156.463,156.463,156.463
328,180.571,180.571,180.571,180.571,180.571
329,190.067,190.067,190.067,190.067,190.067
330,238.411,238.411,238.411,238.411,238.411
331,233.584,233.584,233.584,233.584,233.584
332,169.383,169.383,169.383,169.383,169.383
333,98.914,98.914,98.914,98.914,98.914
334,49.226,49.226,49.226,49.226,49.226
335,25.686,25.686,25.686,25.686,25.686
336,19.621,19.621,19.621,19.621,19.621
337,43.823,43.823,43.823,43.823,43.823
338,43.411,43.411,43.411,43.411,43.411
339,45.156,45.156,45.156,45.156,45.156
340,55.262,55.262,55.262,55.262,55.262
341,82.844,82.844,82.844,82.844,82.844
342,14.023,14.023,14.023,14.023,14.023
343,225.289,225.289,225.289,225.289,225.289
344,261.566,261.566,261.566,261.566,261.566
345,197.447,197.447,197.447,197.447,197.447
346,118.795,118.795,118.795,118.795,118.795
347,98.568,98.568,98.568,98.568,98.568
348,107.854,107.854,107.854,107.854,107.854
349,106.648,106.648,106.648,106.648,106.648
350,126.594,126.594,126.594,126.594,126.594
351,126.845,126.845,126.845,126.845,126.845
352,133.727,133.727,133.727,133.727,133.727
353,180.646,180.646,180.646,180.646,180.646
354,285.506,285.506,285.506,285.506,285.506
355,290.732,290.732,290.732,290.732,290.732
356,220.638,220.638,220.638,220.638,220.638
357,169.837,169.837,169.837,169.837,169.837
358,90.959,90.959,90.959,90.959,90.959
359,3.79,3.79,3.79,3.79,3.79
360,23.294,23.294,23.294,23.294,23.294
361,26.694,26.694,26.694,26.694,26.694
362,53.471,53.471,53.471,53.471,53.471
363,52.468,52.468,52.468,52.468,52.468
364,58.679,58.679,58.679,58.679,58.679
365,78.397,78.397,78.397,78.397,78.397
366,130.521,130.521,130.521,130.521,130.521
367,212.456,212.456,212.456,212.456,212.456
368,271.112,271.112,271.112,271.112,271.112
369,226.851,226.851,226.851,226.851,226.851
370,159.386,159.386,159.386,159.386,159.386
371,113.384,113.384,113.384,113.384,113.384
372,90.101,90.101,90.101,90.101,90.101
373,90.537,90.537,90.537,90.537,90.537
374,13.305,13.305,13.305,13.305,13.305
375,11.409,11.409,11.409,11.409,11.409
376,155.323,155.323,155.323,155.323,155.323
377,195.057,195.057,195.057,195.057,195.057
378,253.393,253.393,253.393,253.393,253.393
379,276.208,276.208,276.208,276.208,276.208
380,230.434,230.434,230.434,230.434,230.434
381,163.496,163.496,163.496,163.496,163.496
382,83.081,83.081,83.081,83.081,83.081
383,46.628,46.628,46.628,46.628,46.628
384,20.647,20.647,20.647,20.647,20.647
385,20.212,20.212,20.212,20.212,20.212
386,29.382,29.382,29.382,29.382,29.382
387,42.278,42.278,42.278,42.278,42.278
388,48.077,48.077,48.077,48.077,48.077
389,66.688,66.688,66.688,66.688,66.688
390,121.343,121.343,121.343,121.343,121.343
391,227.017,227.017,227.017,227.017,227.017
392,282.757,282.757,282.757,282.757,282.757
393,254.107,254.107,254.107,254.107,254.107
394,16.397,16.397,16.397,16.397,16.397
395,117.086,117.086,117.086,117.086,117.086
396,95.925,95.925,95.925,95.925,95.925
397,134.354,134.354,134.354,134.354,134.354
398,106.166,106.166,106.166,106.166,106.166
399,116.839,116.839,116.839,116.839,116.839
400,140.241,140.241,140.241,140.241,140.241
401,204.017,204.017,204.017,204.017,204.017
402,263.083,263.083,263.083,263.083,263.083
403,286.063,286.063,286.063,286.063,286.063
404,251.399,251.399,251.399,251.399,251.399
405,170.988,170.988,170.988,170.988,170.988
406,51.435,51.435,51.435,51.435,51.435
407,23.171,23.171,23.171,23.171,23.171
408,39.046,39.046,39.046,39.046,39.046
409,44.337,44.337,44.337,44.337,44.337
410,46.649,46.649,46.649,46.649,46.649
411,58.072,58.072,58.072,58.072,58.072
412,68.315,68.315,68.315,68.315,68.315
413,79.152,79.152,79.152,79.152,79.152
414,124.259,124.259,124.259,124.259,124.259
415,211.455,211.455,211.455,211.455,211.455
416,255.945,255.945,255.945,255.945,255.945
417,215.084,215.084,215.084,215.084,215.084
418,142.177,142.177,142.177,142.177,142.177
419,119.836,119.836,119.836,119.836,119.836
420,94.936,94.936,94.936,94.936,94.936
421,89.125,89.125,89.125,89.125,89.125
422,102.673,102.673,102.673,102.673,102.673
423,145.195,145.195,145.195,145.195,145.195
424,137.826,137.826,137.826,137.826,137.826
