Technology,Capacity unit,Nominal investment cost,Present-value investment cost
Battery,kWh,661395.35365832,661395.35365832
Battery inverter,kW,52209.55228012697,52209.55228012697
Generator,kW,41058.36152689436,41058.36152689436
Solar PV,kW,668664.5074025923,668664.5074025923
Solar PV inverter,kW_ac,111444.08456709873,111444.08456709873
