year,renewables_kw,renewable_inverter_kw_ac,battery_kwh,battery_inverter_kw,generator_kw
2026,742.9605637806582,619.1338031505485,1889.7010104523429,326.3097017507936,68.43060254482394
2027,742.9605637806582,619.1338031505485,1889.7010104523429,326.3097017507936,68.43060254482394
2028,742.9605637806582,619.1338031505485,1889.7010104523429,326.3097017507936,68.43060254482394
2029,742.9605637806582,619.1338031505485,1889.7010104523429,326.3097017507936,68.43060254482394
2030,742.9605637806582,619.1338031505485,1889.7010104523429,326.3097017507936,68.43060254482394
2031,742.9605637806582,619.1338031505485,1889.7010104523429,326.3097017507936,68.43060254482394
2032,742.9605637806582,619.1338031505485,1889.7010104523429,326.3097017507936,68.43060254482394
2033,742.9605637806582,619.1338031505485,1889.7010104523429,326.3097017507936,68.43060254482394
2034,742.9605637806582,619.1338031505485,1889.7010104523429,326.3097017507936,68.43060254482394
2035,742.9605637806582,619.1338031505485,1889.7010104523429,326.3097017507936,68.43060254482394
