Periods,Solar PV
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,60.779714818256714
9,97.60485028848973
10,330.3971914734943
11,528.7159938196487
12,682.9377642921716
13,762.6411043307686
14,806.3243999602038
15,777.8144711229888
16,675.9452966990565
17,493.24390597256235
18,286.59489026431663
19,66.83370840017798
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,62.37669830985729
33,291.02131511577556
34,506.2630635480838
35,680.662640604623
36,798.4815656211529
37,862.7136944514701
38,852.3906419184849
39,796.3798185712753
40,681.0423989576974
41,499.95816792754
42,288.651481720128
43,68.67453286539072
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,59.49423274279041
57,290.01717421978753
58,507.6034885720872
59,677.9577016704936
60,794.6434333212464
61,859.1086103412837
62,848.9136017137938
63,791.434323151897
64,675.6015036645287
65,496.98965287037163
66,290.11366581237274
67,70.62771491499863
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,57.27119995920238
81,220.92452721321166
82,425.07169326233486
83,668.0101444179859
84,787.1680374303578
85,848.626037576579
86,840.4011847757517
87,784.7439919914744
88,667.7042551906212
89,491.49119959467043
90,288.6007972004827
91,70.67713775686188
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,55.151086548982605
105,256.43142928647853
106,472.38990422236304
107,631.6443582226334
108,785.4285177518276
109,844.4920761052908
110,839.1013986070498
111,783.5219558474595
112,667.646958215451
113,493.2696416336352
114,286.28520263315744
115,75.16948658226532
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,45.1274231682325
129,285.78585130547907
130,502.40839026503636
131,675.206717763135
132,795.255402595687
133,855.8934047632882
134,851.2176575308076
135,790.2833593900231
136,676.2630226936618
137,499.28635398956646
138,294.00142939587596
139,74.57015118374538
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,45.43702166451091
153,285.4247602470409
154,502.71152766101216
155,676.0104580213089
156,794.183830312779
157,855.7714658510354
158,847.2315694420263
159,790.010023986457
160,673.5581770973268
161,500.3671261683255
162,295.57351144281375
163,76.74321893037383
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,44.35343514874431
177,284.45800769622366
178,500.78092753777145
179,674.1122563702642
180,795.5427975956882
181,854.8070310111381
182,850.5865043248484
183,794.0498101619031
184,677.7630849474507
185,504.38799479557423
