meta,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth
hour,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045
1061,71.515,71.515,71.515,71.515,71.515,71.515,71.515,71.515,71.515,71.515,71.515,71.515,71.515,71.515,71.515,71.515,71.515,71.515,71.515,71.515,71.515,85.818,102.9816,123.57792,148.293504,177.9522048,213.5426458,256.2511749,307.5014099,369.0016919,442.8020302,531.3624363,637.6349236,765.1619083,918.1942899,1101.833148,1322.199777,1586.639733,1903.96768,2284.761215,71.515,100.121,120.1452,144.17424,173.009088,207.6109056,249.1330867,298.9597041,358.7516449,430.5019739,516.6023686,619.9228423,743.9074108,892.688893,1071.226672,1285.472006,1542.566407,1851.079688,2221.295626,2665.554751
1062,13.82,13.82,13.82,13.82,13.82,13.82,13.82,13.82,13.82,13.82,13.82,13.82,13.82,13.82,13.82,13.82,13.82,13.82,13.82,13.82,13.82,16.584,19.9008,23.88096,28.657152,34.3885824,41.26629888,49.51955866,59.42347039,71.30816446,85.56979736,102.6837568,123.2205082,147.8646098,177.4375318,212.9250382,255.5100458,306.612055,367.9344659,441.5213591,13.82,19.348,23.2176,27.86112,33.433344,40.1200128,48.14401536,57.77281843,69.32738212,83.19285854,99.83143025,119.7977163,143.7572596,172.5087115,207.0104538,248.4125445,298.0950534,357.7140641,429.2568769,515.1082523
1063,240.037,240.037,240.037,240.037,240.037,240.037,240.037,240.037,240.037,240.037,240.037,240.037,240.037,240.037,240.037,240.037,240.037,240.037,240.037,240.037,240.037,288.0444,345.65328,414.783936,497.7407232,597.2888678,716.7466414,860.0959697,1032.115164,1238.538196,1486.245836,1783.495003,2140.194003,2568.232804,3081.879365,3698.255238,4437.906285,5325.487542,6390.585051,7668.702061,240.037,336.0518,403.26216,483.914592,580.6975104,696.8370125,836.204415,1003.445298,1204.134358,1444.961229,1733.953475,2080.74417,2496.893004,2996.271605,3595.525926,4314.631111,5177.557333,6213.068799,7455.682559,8946.819071
1064,256.315,256.315,256.315,256.315,256.315,256.315,256.315,256.315,256.315,256.315,256.315,256.315,256.315,256.315,256.315,256.315,256.315,256.315,256.315,256.315,256.315,307.578,369.0936,442.91232,531.494784,637.7937408,765.352489,918.4229868,1102.107584,1322.529101,1587.034921,1904.441905,2285.330286,2742.396344,3290.875612,3949.050735,4738.860882,5686.633058,6823.95967,8188.751604,256.315,358.841,430.6092,516.73104,620.077248,744.0926976,892.9112371,1071.493485,1285.792181,1542.950618,1851.540741,2221.84889,2666.218667,3199.462401,3839.354881,4607.225857,5528.671029,6634.405235,7961.286282,9553.543538
1065,234.544,234.544,234.544,234.544,234.544,234.544,234.544,234.544,234.544,234.544,234.544,234.544,234.544,234.544,234.544,234.544,234.544,234.544,234.544,234.544,234.544,281.4528,337.74336,405.292032,486.3504384,583.6205261,700.3446313,840.4135576,1008.496269,1210.195523,1452.234627,1742.681553,2091.217864,2509.461436,3011.353723,3613.624468,4336.349362,5203.619234,6244.343081,7493.211697,234.544,328.3616,394.03392,472.840704,567.4088448,680.8906138,817.0687365,980.4824838,1176.578981,1411.894777,1694.273732,2033.128478,2439.754174,2927.705009,3513.246011,4215.895213,5059.074255,6070.889107,7285.066928,8742.080313
1066,143.901,143.901,143.901,143.901,143.901,143.901,143.901,143.901,143.901,143.901,143.901,143.901,143.901,143.901,143.901,143.901,143.901,143.901,143.901,143.901,143.901,172.6812,207.21744,248.660928,298.3931136,358.0717363,429.6860836,515.6233003,618.7479604,742.4975524,890.9970629,1069.196476,1283.035771,1539.642925,1847.57151,2217.085812,2660.502974,3192.603569,3831.124282,4597.349139,143.901,201.4614,241.75368,290.104416,348.1252992,417.750359,501.3004308,601.560517,721.8726204,866.2471445,1039.496573,1247.395888,1496.875066,1796.250079,2155.500095,2586.600114,3103.920136,3724.704163,4469.644996,5363.573995
1067,99.276,99.276,99.276,99.276,99.276,99.276,99.276,99.276,99.276,99.276,99.276,99.276,99.276,99.276,99.276,99.276,99.276,99.276,99.276,99.276,99.276,119.1312,142.95744,171.548928,205.8587136,247.0304563,296.4365476,355.7238571,426.8686285,512.2423542,614.6908251,737.6289901,885.1547881,1062.185746,1274.622895,1529.547474,1835.456969,2202.548362,2643.058035,3171.669642,99.276,138.9864,166.78368,200.140416,240.1684992,288.202199,345.8426388,415.0111666,498.0133999,597.6160799,717.1392959,860.5671551,1032.680586,1239.216703,1487.060044,1784.472053,2141.366463,2569.639756,3083.567707,3700.281249
1068,118.726,118.726,118.726,118.726,118.726,118.726,118.726,118.726,118.726,118.726,118.726,118.726,118.726,118.726,118.726,118.726,118.726,118.726,118.726,118.726,118.726,142.4712,170.96544,205.158528,246.1902336,295.4282803,354.5139364,425.4167237,510.5000684,612.6000821,735.1200985,882.1441182,1058.572942,1270.28753,1524.345036,1829.214043,2195.056852,2634.068223,3160.881867,3793.058241,118.726,166.2164,199.45968,239.351616,287.2219392,344.666327,413.5995924,496.3195109,595.5834131,714.7000958,857.6401149,1029.168138,1235.001765,1482.002119,1778.402542,2134.083051,2560.899661,3073.079593,3687.695512,4425.234614
1069,101.891,101.891,101.891,101.891,101.891,101.891,101.891,101.891,101.891,101.891,101.891,101.891,101.891,101.891,101.891,101.891,101.891,101.891,101.891,101.891,101.891,122.2692,146.72304,176.067648,211.2811776,253.5374131,304.2448957,365.0938749,438.1126499,525.7351798,630.8822158,757.058659,908.4703908,1090.164469,1308.197363,1569.836835,1883.804202,2260.565043,2712.678051,3255.213662,101.891,142.6474,171.17688,205.412256,246.4947072,295.7936486,354.9523784,425.942854,511.1314248,613.3577098,736.0292518,883.2351021,1059.882123,1271.858547,1526.230256,1831.476308,2197.771569,2637.325883,3164.79106,3797.749272
1070,14.977,14.977,14.977,14.977,14.977,14.977,14.977,14.977,14.977,14.977,14.977,14.977,14.977,14.977,14.977,14.977,14.977,14.977,14.977,14.977,14.977,17.9724,21.56688,25.880256,31.0563072,37.26756864,44.72108237,53.66529884,64.39835861,77.27803033,92.7336364,111.2803637,133.5364364,160.2437237,192.2924684,230.7509621,276.9011545,332.2813855,398.7376625,478.4851951,14.977,20.9678,25.16136,30.193632,36.2323584,43.47883008,52.1745961,62.60951532,75.13141838,90.15770205,108.1892425,129.827091,155.7925091,186.951011,224.3412132,269.2094558,323.051347,387.6616164,465.1939396,558.2327276
1071,140.481,140.481,140.481,140.481,140.481,140.481,140.481,140.481,140.481,140.481,140.481,140.481,140.481,140.481,140.481,140.481,140.481,140.481,140.481,140.481,140.481,168.5772,202.29264,242.751168,291.3014016,349.5616819,419.4740183,503.368822,604.0425864,724.8511036,869.8213244,1043.785589,1252.542707,1503.051248,1803.661498,2164.393798,2597.272557,3116.727069,3740.072483,4488.086979,140.481,196.6734,236.00808,283.209696,339.8516352,407.8219622,489.3863547,587.2636256,704.7163508,845.6596209,1014.791545,1217.749854,1461.299825,1753.55979,2104.271748,2525.126097,3030.151317,3636.18158,4363.417896,5236.101476
1072,133.946,133.946,133.946,133.946,133.946,133.946,133.946,133.946,133.946,133.946,133.946,133.946,133.946,133.946,133.946,133.946,133.946,133.946,133.946,133.946,133.946,160.7352,192.88224,231.458688,277.7504256,333.3005107,399.9606129,479.9527354,575.9432825,691.131939,829.3583268,995.2299922,1194.275991,1433.131189,1719.757427,2063.708912,2476.450694,2971.740833,3566.089,4279.3068,133.946,187.5244,225.02928,270.035136,324.0421632,388.8505958,466.620715,559.944858,671.9338296,806.3205955,967.5847146,1161.101658,1393.321989,1671.986387,2006.383664,2407.660397,2889.192477,3467.030972,4160.437166,4992.524599
1073,173.203,173.203,173.203,173.203,173.203,173.203,173.203,173.203,173.203,173.203,173.203,173.203,173.203,173.203,173.203,173.203,173.203,173.203,173.203,173.203,173.203,207.8436,249.41232,299.294784,359.1537408,430.984489,517.1813868,620.6176641,744.7411969,893.6894363,1072.427324,1286.912788,1544.295346,1853.154415,2223.785298,2668.542358,3202.250829,3842.700995,4611.241194,5533.489433,173.203,242.4842,290.98104,349.177248,419.0126976,502.8152371,603.3782845,724.0539415,868.8647297,1042.637676,1251.165211,1501.398253,1801.677904,2162.013484,2594.416181,3113.299417,3735.959301,4483.151161,5379.781393,6455.737672
1074,252.638,252.638,252.638,252.638,252.638,252.638,252.638,252.638,252.638,252.638,252.638,252.638,252.638,252.638,252.638,252.638,252.638,252.638,252.638,252.638,252.638,303.1656,363.79872,436.558464,523.8701568,628.6441882,754.3730258,905.247631,1086.297157,1303.556589,1564.267906,1877.121488,2252.545785,2703.054942,3243.66593,3892.399117,4670.87894,5605.054728,6726.065673,8071.278808,252.638,353.6932,424.43184,509.318208,611.1818496,733.4182195,880.1018634,1056.122236,1267.346683,1520.81602,1824.979224,2189.975069,2627.970083,3153.564099,3784.276919,4541.132303,5449.358763,6539.230516,7847.076619,9416.491943
1075,294.598,294.598,294.598,294.598,294.598,294.598,294.598,294.598,294.598,294.598,294.598,294.598,294.598,294.598,294.598,294.598,294.598,294.598,294.598,294.598,294.598,353.5176,424.22112,509.065344,610.8784128,733.0540954,879.6649144,1055.597897,1266.717477,1520.060972,1824.073167,2188.8878,2626.66536,3151.998432,3782.398118,4538.877742,5446.65329,6535.983948,7843.180738,9411.816885,294.598,412.4372,494.92464,593.909568,712.6914816,855.2297779,1026.275734,1231.53088,1477.837056,1773.404467,2128.085361,2553.702433,3064.44292,3677.331504,4412.797805,5295.357365,6354.428839,7625.314606,9150.377528,10980.45303
1076,243.464,243.464,243.464,243.464,243.464,243.464,243.464,243.464,243.464,243.464,243.464,243.464,243.464,243.464,243.464,243.464,243.464,243.464,243.464,243.464,243.464,292.1568,350.58816,420.705792,504.8469504,605.8163405,726.9796086,872.3755303,1046.850636,1256.220764,1507.464916,1808.9579,2170.74948,2604.899375,3125.879251,3751.055101,4501.266121,5401.519345,6481.823214,7778.187857,243.464,340.8496,409.01952,490.823424,588.9881088,706.7857306,848.1428767,1017.771452,1221.325742,1465.590891,1758.709069,2110.450883,2532.541059,3039.049271,3646.859126,4376.230951,5251.477141,6301.772569,7562.127083,9074.552499
1077,159.961,159.961,159.961,159.961,159.961,159.961,159.961,159.961,159.961,159.961,159.961,159.961,159.961,159.961,159.961,159.961,159.961,159.961,159.961,159.961,159.961,191.9532,230.34384,276.412608,331.6951296,398.0341555,477.6409866,573.1691839,687.8030207,825.3636249,990.4363499,1188.52362,1426.228344,1711.474013,2053.768815,2464.522578,2957.427094,3548.912512,4258.695015,5110.434018,159.961,223.9454,268.73448,322.481376,386.9776512,464.3731814,557.2478177,668.6973813,802.4368575,962.924229,1155.509075,1386.61089,1663.933068,1996.719681,2396.063618,2875.276341,3450.331609,4140.397931,4968.477517,5962.173021
1078,65.473,65.473,65.473,65.473,65.473,65.473,65.473,65.473,65.473,65.473,65.473,65.473,65.473,65.473,65.473,65.473,65.473,65.473,65.473,65.473,65.473,78.5676,94.28112,113.137344,135.7648128,162.9177754,195.5013304,234.6015965,281.5219158,337.826299,405.3915588,486.4698705,583.7638446,700.5166136,840.6199363,1008.743924,1210.492708,1452.59125,1743.1095,2091.7314,65.473,91.6622,109.99464,131.993568,158.3922816,190.0707379,228.0848855,273.7018626,328.4422351,394.1306822,472.9568186,567.5481823,681.0578188,817.2693825,980.723259,1176.867911,1412.241493,1694.689792,2033.62775,2440.3533
1079,21.783,21.783,21.783,21.783,21.783,21.783,21.783,21.783,21.783,21.783,21.783,21.783,21.783,21.783,21.783,21.783,21.783,21.783,21.783,21.783,21.783,26.1396,31.36752,37.641024,45.1692288,54.20307456,65.04368947,78.05242737,93.66291284,112.3954954,134.8745945,161.8495134,194.2194161,233.0632993,279.6759591,335.611151,402.7333812,483.2800574,579.9360689,695.9232826,21.783,30.4962,36.59544,43.914528,52.6974336,63.23692032,75.88430438,91.06116526,109.2733983,131.128078,157.3536936,188.8244323,226.5893187,271.9071825,326.288619,391.5463428,469.8556113,563.8267336,676.5920803,811.9104964
1080,36.814,36.814,36.814,36.814,36.814,36.814,36.814,36.814,36.814,36.814,36.814,36.814,36.814,36.814,36.814,36.814,36.814,36.814,36.814,36.814,36.814,44.1768,53.01216,63.614592,76.3375104,91.60501248,109.926015,131.911218,158.2934616,189.9521539,227.9425847,273.5311016,328.2373219,393.8847863,472.6617435,567.1940922,680.6329107,816.7594928,980.1113914,1176.13367,36.814,51.5396,61.84752,74.217024,89.0604288,106.8725146,128.2470175,153.896421,184.6757052,221.6108462,265.9330154,319.1196185,382.9435422,459.5322507,551.4387008,661.726441,794.0717291,952.886075,1143.46329,1372.155948
1081,44.555,44.555,44.555,44.555,44.555,44.555,44.555,44.555,44.555,44.555,44.555,44.555,44.555,44.555,44.555,44.555,44.555,44.555,44.555,44.555,44.555,53.466,64.1592,76.99104,92.389248,110.8670976,133.0405171,159.6486205,191.5783447,229.8940136,275.8728163,331.0473796,397.2568555,476.7082266,572.0498719,686.4598463,823.7518155,988.5021786,1186.202614,1423.443137,44.555,62.377,74.8524,89.82288,107.787456,129.3449472,155.2139366,186.256724,223.5080688,268.2096825,321.851619,386.2219428,463.4663314,556.1595977,667.3915172,800.8698206,961.0437848,1153.252542,1383.90305,1660.68366
1082,45.207,45.207,45.207,45.207,45.207,45.207,45.207,45.207,45.207,45.207,45.207,45.207,45.207,45.207,45.207,45.207,45.207,45.207,45.207,45.207,45.207,54.2484,65.09808,78.117696,93.7412352,112.4894822,134.9873787,161.9848544,194.3818253,233.2581904,279.9098284,335.8917941,403.070153,483.6841836,580.4210203,696.5052243,835.8062692,1002.967523,1203.561028,1444.273233,45.207,63.2898,75.94776,91.137312,109.3647744,131.2377293,157.4852751,188.9823302,226.7787962,272.1345554,326.5614665,391.8737598,470.2485118,564.2982142,677.157857,812.5894284,975.1073141,1170.128777,1404.154532,1684.985439
1083,49.752,49.752,49.752,49.752,49.752,49.752,49.752,49.752,49.752,49.752,49.752,49.752,49.752,49.752,49.752,49.752,49.752,49.752,49.752,49.752,49.752,59.7024,71.64288,85.971456,103.1657472,123.7988966,148.558676,178.2704112,213.9244934,256.7093921,308.0512705,369.6615246,443.5938295,532.3125954,638.7751145,766.5301374,919.8361649,1103.803398,1324.564077,1589.476893,49.752,69.6528,83.58336,100.300032,120.3600384,144.4320461,173.3184553,207.9821464,249.5785756,299.4942908,359.3931489,431.2717787,517.5261344,621.0313613,745.2376336,894.2851603,1073.142192,1287.770631,1545.324757,1854.389708
1084,52.595,52.595,52.595,52.595,52.595,52.595,52.595,52.595,52.595,52.595,52.595,52.595,52.595,52.595,52.595,52.595,52.595,52.595,52.595,52.595,52.595,63.114,75.7368,90.88416,109.060992,130.8731904,157.0478285,188.4573942,226.148873,271.3786476,325.6543771,390.7852526,468.9423031,562.7307637,675.2769164,810.3322997,972.3987597,1166.878512,1400.254214,1680.305057,52.595,73.633,88.3596,106.03152,127.237824,152.6853888,183.2224666,219.8669599,263.8403518,316.6084222,379.9301067,455.916128,547.0993536,656.5192243,787.8230692,945.387683,1134.46522,1361.358264,1633.629916,1960.355899
1085,67.997,67.997,67.997,67.997,67.997,67.997,67.997,67.997,67.997,67.997,67.997,67.997,67.997,67.997,67.997,67.997,67.997,67.997,67.997,67.997,67.997,81.5964,97.91568,117.498816,140.9985792,169.198295,203.037954,243.6455449,292.3746538,350.8495846,421.0195015,505.2234018,606.2680822,727.5216986,873.0260383,1047.631246,1257.157495,1508.588994,1810.306793,2172.368152,67.997,95.1958,114.23496,137.081952,164.4983424,197.3980109,236.8776131,284.2531357,341.1037628,409.3245154,491.1894184,589.4273021,707.3127625,848.7753151,1018.530378,1222.236454,1466.683744,1760.020493,2112.024592,2534.42951
1086,118.141,118.141,118.141,118.141,118.141,118.141,118.141,118.141,118.141,118.141,118.141,118.141,118.141,118.141,118.141,118.141,118.141,118.141,118.141,118.141,118.141,141.7692,170.12304,204.147648,244.9771776,293.9726131,352.7671357,423.3205629,507.9846755,609.5816106,731.4979327,877.7975192,1053.357023,1264.028428,1516.834113,1820.200936,2184.241123,2621.089348,3145.307217,3774.368661,118.141,165.3974,198.47688,238.172256,285.8067072,342.9680486,411.5616584,493.87399,592.648788,711.1785457,853.4142548,1024.097106,1228.916527,1474.699832,1769.639799,2123.567758,2548.28131,3057.937572,3669.525087,4403.430104
1087,226.519,226.519,226.519,226.519,226.519,226.519,226.519,226.519,226.519,226.519,226.519,226.519,226.519,226.519,226.519,226.519,226.519,226.519,226.519,226.519,226.519,271.8228,326.18736,391.424832,469.7097984,563.6517581,676.3821097,811.6585316,973.990238,1168.788286,1402.545943,1683.055131,2019.666157,2423.599389,2908.319267,3489.98312,4187.979744,5025.575693,6030.690831,7236.828998,226.519,317.1266,380.55192,456.662304,547.9947648,657.5937178,789.1124613,946.9349536,1136.321944,1363.586333,1636.3036,1963.56432,2356.277184,2827.53262,3393.039144,4071.646973,4885.976368,5863.171642,7035.80597,8442.967164
1088,263.114,263.114,263.114,263.114,263.114,263.114,263.114,263.114,263.114,263.114,263.114,263.114,263.114,263.114,263.114,263.114,263.114,263.114,263.114,263.114,263.114,315.7368,378.88416,454.660992,545.5931904,654.7118285,785.6541942,942.785033,1131.34204,1357.610448,1629.132537,1954.959044,2345.950853,2815.141024,3378.169229,4053.803075,4864.563689,5837.476427,7004.971713,8405.966055,263.114,368.3596,442.03152,530.437824,636.5253888,763.8304666,916.5965599,1099.915872,1319.899046,1583.878855,1900.654627,2280.785552,2736.942662,3284.331195,3941.197434,4729.43692,5675.324304,6810.389165,8172.466998,9806.960398
1089,219.735,219.735,219.735,219.735,219.735,219.735,219.735,219.735,219.735,219.735,219.735,219.735,219.735,219.735,219.735,219.735,219.735,219.735,219.735,219.735,219.735,263.682,316.4184,379.70208,455.642496,546.7709952,656.1251942,787.3502331,944.8202797,1133.784336,1360.541203,1632.649443,1959.179332,2351.015198,2821.218238,3385.461886,4062.554263,4875.065115,5850.078138,7020.093766,219.735,307.629,369.1548,442.98576,531.582912,637.8994944,765.4793933,918.5752719,1102.290326,1322.748392,1587.29807,1904.757684,2285.709221,2742.851065,3291.421278,3949.705533,4739.64664,5687.575968,6825.091162,8190.109394
1090,137.321,137.321,137.321,137.321,137.321,137.321,137.321,137.321,137.321,137.321,137.321,137.321,137.321,137.321,137.321,137.321,137.321,137.321,137.321,137.321,137.321,164.7852,197.74224,237.290688,284.7488256,341.6985907,410.0383089,492.0459706,590.4551648,708.5461977,850.2554373,1020.306525,1224.36783,1469.241396,1763.089675,2115.70761,2538.849132,3046.618958,3655.942749,4387.131299,137.321,192.2494,230.69928,276.839136,332.2069632,398.6483558,478.378027,574.0536324,688.8643589,826.6372307,991.9646768,1190.357612,1428.429135,1714.114962,2056.937954,2468.325545,2961.990654,3554.388784,4265.266541,5118.319849
1091,90.032,90.032,90.032,90.032,90.032,90.032,90.032,90.032,90.032,90.032,90.032,90.032,90.032,90.032,90.032,90.032,90.032,90.032,90.032,90.032,90.032,108.0384,129.64608,155.575296,186.6903552,224.0284262,268.8341115,322.6009338,387.1211205,464.5453447,557.4544136,668.9452963,802.7343556,963.2812267,1155.937472,1387.124966,1664.54996,1997.459952,2396.951942,2876.34233,90.032,126.0448,151.25376,181.504512,217.8054144,261.3664973,313.6397967,376.3677561,451.6413073,541.9695688,650.3634825,780.436179,936.5234148,1123.828098,1348.593717,1618.312461,1941.974953,2330.369944,2796.443932,3355.732719
1092,88.302,88.302,88.302,88.302,88.302,88.302,88.302,88.302,88.302,88.302,88.302,88.302,88.302,88.302,88.302,88.302,88.302,88.302,88.302,88.302,88.302,105.9624,127.15488,152.585856,183.1030272,219.7236326,263.6683592,316.402031,379.6824372,455.6189246,546.7427096,656.0912515,787.3095018,944.7714021,1133.725683,1360.470819,1632.564983,1959.077979,2350.893575,2821.07229,88.302,123.6228,148.34736,178.016832,213.6201984,256.3442381,307.6130857,369.1357028,442.9628434,531.5554121,637.8664945,765.4397934,918.5277521,1102.233302,1322.679963,1587.215956,1904.659147,2285.590976,2742.709171,3291.251006
1093,106.905,106.905,106.905,106.905,106.905,106.905,106.905,106.905,106.905,106.905,106.905,106.905,106.905,106.905,106.905,106.905,106.905,106.905,106.905,106.905,106.905,128.286,153.9432,184.73184,221.678208,266.0138496,319.2166195,383.0599434,459.6719321,551.6063185,661.9275822,794.3130987,953.1757184,1143.810862,1372.573035,1647.087641,1976.50517,2371.806204,2846.167444,3415.400933,106.905,149.667,179.6004,215.52048,258.624576,310.3494912,372.4193894,446.9032673,536.2839208,643.540705,772.2488459,926.6986151,1112.038338,1334.446006,1601.335207,1921.602248,2305.922698,2767.107238,3320.528685,3984.634422
1094,127.096,127.096,127.096,127.096,127.096,127.096,127.096,127.096,127.096,127.096,127.096,127.096,127.096,127.096,127.096,127.096,127.096,127.096,127.096,127.096,127.096,152.5152,183.01824,219.621888,263.5462656,316.2555187,379.5066225,455.407947,546.4895363,655.7874436,786.9449323,944.3339188,1133.200703,1359.840843,1631.809012,1958.170814,2349.804977,2819.765972,3383.719167,4060.463,127.096,177.9344,213.52128,256.225536,307.4706432,368.9647718,442.7577262,531.3092714,637.5711257,765.0853509,918.1024211,1101.722905,1322.067486,1586.480984,1903.77718,2284.532616,2741.43914,3289.726968,3947.672361,4737.206833
1095,140.925,140.925,140.925,140.925,140.925,140.925,140.925,140.925,140.925,140.925,140.925,140.925,140.925,140.925,140.925,140.925,140.925,140.925,140.925,140.925,140.925,169.11,202.932,243.5184,292.22208,350.666496,420.7997952,504.9597542,605.9517051,727.1420461,872.5704553,1047.084546,1256.501456,1507.801747,1809.362096,2171.234515,2605.481418,3126.577702,3751.893243,4502.271891,140.925,197.295,236.754,284.1048,340.92576,409.110912,490.9330944,589.1197133,706.9436559,848.3323871,1017.998865,1221.598637,1465.918365,1759.102038,2110.922446,2533.106935,3039.728322,3647.673986,4377.208783,5252.65054
1096,154.463,154.463,154.463,154.463,154.463,154.463,154.463,154.463,154.463,154.463,154.463,154.463,154.463,154.463,154.463,154.463,154.463,154.463,154.463,154.463,154.463,185.3556,222.42672,266.912064,320.2944768,384.3533722,461.2240466,553.4688559,664.1626271,796.9951525,956.394183,1147.67302,1377.207624,1652.649148,1983.178978,2379.814773,2855.777728,3426.933274,4112.319929,4934.783914,154.463,216.2482,259.49784,311.397408,373.6768896,448.4122675,538.094721,645.7136652,774.8563983,929.8276779,1115.793214,1338.951856,1606.742227,1928.090673,2313.708808,2776.450569,3331.740683,3998.088819,4797.706583,5757.2479
1097,16.719,16.719,16.719,16.719,16.719,16.719,16.719,16.719,16.719,16.719,16.719,16.719,16.719,16.719,16.719,16.719,16.719,16.719,16.719,16.719,16.719,20.0628,24.07536,28.890432,34.6685184,41.60222208,49.9226665,59.9071998,71.88863975,86.26636771,103.5196412,124.2235695,149.0682834,178.8819401,214.6583281,257.5899937,309.1079924,370.9295909,445.1155091,534.1386109,16.719,23.4066,28.08792,33.705504,40.4466048,48.53592576,58.24311091,69.89173309,83.87007971,100.6440957,120.7729148,144.9274977,173.9129973,208.6955968,250.4347161,300.5216593,360.6259912,432.7511894,519.3014273,623.1617128
1098,27.457,27.457,27.457,27.457,27.457,27.457,27.457,27.457,27.457,27.457,27.457,27.457,27.457,27.457,27.457,27.457,27.457,27.457,27.457,27.457,27.457,32.9484,39.53808,47.445696,56.9348352,68.32180224,81.98616269,98.38339523,118.0600743,141.6720891,170.0065069,204.0078083,244.80937,293.771244,352.5254928,423.0305914,507.6367096,609.1640516,730.9968619,877.1962343,27.457,38.4398,46.12776,55.353312,66.4239744,79.70876928,95.65052314,114.7806278,137.7367533,165.284104,198.3409248,238.0091097,285.6109317,342.733118,411.2797416,493.5356899,592.2428279,710.6913935,852.8296722,1023.395607
1099,29.812,29.812,29.812,29.812,29.812,29.812,29.812,29.812,29.812,29.812,29.812,29.812,29.812,29.812,29.812,29.812,29.812,29.812,29.812,29.812,29.812,35.7744,42.92928,51.515136,61.8181632,74.18179584,89.01815501,106.821786,128.1861432,153.8233719,184.5880462,221.5056555,265.8067866,318.9681439,382.7617727,459.3141272,551.1769526,661.4123431,793.6948118,952.4337741,29.812,41.7368,50.08416,60.100992,72.1211904,86.54542848,103.8545142,124.625417,149.5505004,179.4606005,215.3527206,258.4232647,310.1079177,372.1295012,446.5554014,535.8664817,643.0397781,771.6477337,925.9772804,1111.172736
1100,245.122,245.122,245.122,245.122,245.122,245.122,245.122,245.122,245.122,245.122,245.122,245.122,245.122,245.122,245.122,245.122,245.122,245.122,245.122,245.122,245.122,294.1464,352.97568,423.570816,508.2849792,609.941975,731.93037,878.3164441,1053.979733,1264.775679,1517.730815,1821.276978,2185.532374,2622.638849,3147.166619,3776.599942,4531.919931,5438.303917,6525.9647,7831.157641,245.122,343.1708,411.80496,494.165952,592.9991424,711.5989709,853.9187651,1024.702518,1229.643022,1475.571626,1770.685951,2124.823141,2549.78777,3059.745324,3671.694388,4406.033266,5287.239919,6344.687903,7613.625484,9136.350581
1101,161.559,161.559,161.559,161.559,161.559,161.559,161.559,161.559,161.559,161.559,161.559,161.559,161.559,161.559,161.559,161.559,161.559,161.559,161.559,161.559,161.559,193.8708,232.64496,279.173952,335.0087424,402.0104909,482.4125891,578.8951069,694.6741282,833.6089539,1000.330745,1200.396894,1440.476272,1728.571527,2074.285832,2489.142999,2986.971598,3584.365918,4301.239102,5161.486922,161.559,226.1826,271.41912,325.702944,390.8435328,469.0122394,562.8146872,675.3776247,810.4531496,972.5437795,1167.052535,1400.463043,1680.555651,2016.666781,2420.000137,2904.000165,3484.800198,4181.760238,5018.112285,6021.734742
1102,65.421,65.421,65.421,65.421,65.421,65.421,65.421,65.421,65.421,65.421,65.421,65.421,65.421,65.421,65.421,65.421,65.421,65.421,65.421,65.421,65.421,78.5052,94.20624,113.047488,135.6569856,162.7883827,195.3460593,234.4152711,281.2983253,337.5579904,405.0695885,486.0835062,583.3002074,699.9602489,839.9522987,1007.942758,1209.53131,1451.437572,1741.725087,2090.070104,65.421,91.5894,109.90728,131.888736,158.2664832,189.9197798,227.9037358,273.484483,328.1813796,393.8176555,472.5811866,567.0974239,680.5169087,816.6202904,979.9443485,1175.933218,1411.119862,1693.343834,2032.012601,2438.415121
