meta,low_demand,low_demand,low_demand,low_demand,low_demand,low_demand,low_demand,low_demand,low_demand,low_demand,base_demand,base_demand,base_demand,base_demand,base_demand,base_demand,base_demand,base_demand,base_demand,base_demand,high_demand,high_demand,high_demand,high_demand,high_demand,high_demand,high_demand,high_demand,high_demand,high_demand
39,114.014,116.86435,119.7859588,122.7806077,125.8501229,128.996376,132.2212854,135.5268175,138.914988,142.3878627,114.014,119.7147,122.7075675,125.7752567,128.9196381,132.1426291,135.4461948,138.8323497,142.3031584,145.8607374,114.014,122.56505,125.6291763,128.7699057,131.9891533,135.2888821,138.6711042,142.1378818,145.6913288,149.3336121
40,139.898,143.39545,146.9803363,150.6548447,154.4212158,158.2817462,162.2387898,166.2947596,170.4521286,174.7134318,139.898,146.8929,150.5652225,154.3293531,158.1875869,162.1422766,166.1958335,170.3507293,174.6094975,178.974735,139.898,150.39035,154.1501088,158.0038615,161.953958,166.002807,170.1528771,174.4066991,178.7668665,183.2360382
41,199.673,204.664825,209.7814456,215.0259818,220.4016313,225.9116721,231.5594639,237.3484505,243.2821618,249.3642158,199.673,209.65665,214.8980663,220.2705179,225.7772809,231.4217129,237.2072557,243.1374371,249.215873,255.4462698,199.673,214.648475,220.0146869,225.515054,231.1529304,236.9317537,242.8550475,248.9264237,255.1495843,261.5283239
42,272.177,278.981425,285.9559606,293.1048596,300.4324811,307.9432932,315.6418755,323.5329224,331.6212454,339.9117766,272.177,285.78585,292.9304963,300.2537587,307.7601026,315.4541052,323.3404578,331.4239693,339.7095685,348.2023077,272.177,292.590275,299.9050319,307.4026577,315.0877241,322.9649172,331.0390401,339.3150162,347.7978916,356.4928388
43,301.939,309.487475,317.2246619,325.1552784,333.2841604,341.6162644,350.156671,358.9105878,367.8833525,377.0804363,301.939,317.03595,324.9618488,333.085895,341.4130423,349.9483684,358.6970776,367.6645046,376.8561172,386.2775201,301.939,324.584425,332.6990356,341.0165115,349.5419243,358.2804724,367.2374842,376.4184213,385.8288819,395.4746039
44,224.756,230.3749,236.1342725,242.0376293,248.08857,254.2907843,260.6480539,267.1642553,273.8433616,280.6894457,224.756,235.9938,241.893645,247.9409861,254.1395108,260.4929985,267.0053235,273.6804566,280.522468,287.5355297,224.756,241.6127,247.6530175,253.8443429,260.1904515,266.6952128,273.3625931,280.1966579,287.2015744,294.3816138
45,156.296,160.2034,164.208485,168.3136971,172.5215396,176.834578,181.2554425,185.7868286,190.4314993,195.1922868,156.296,164.1108,168.21357,172.4189093,176.729382,181.1476165,185.6763069,190.3182146,195.07617,199.9530742,156.296,168.0182,172.218655,176.5241214,180.9372244,185.460655,190.0971714,194.8496007,199.7208407,204.7138617
46,81.852,83.8983,85.9957575,88.14565144,90.34929272,92.60802504,94.92322567,97.29630631,99.72871397,102.2219318,81.852,85.9446,88.093215,90.29554538,92.55293401,94.86675736,97.23842629,99.66938695,102.1611216,104.7151497,81.852,87.9909,90.1906725,92.44543931,94.7565753,97.12548968,99.55362692,102.0424676,104.5935293,107.2083675
47,37.844,38.7901,39.7598525,40.75384881,41.77269503,42.81701241,43.88743772,44.98462366,46.10923925,47.26197023,37.844,39.7362,40.729605,41.74784513,42.79154125,43.86132978,44.95786303,46.0818096,47.23385484,48.41470122,37.844,40.6823,41.6993575,42.74184144,43.81038747,44.90564716,46.02828834,47.17899555,48.35847044,49.5674322
48,3.195,3.274875,3.356746875,3.440665547,3.526682186,3.61484924,3.705220471,3.797850983,3.892797258,3.990117189,3.195,3.35475,3.43861875,3.524584219,3.612698824,3.703016295,3.795591702,3.890481495,3.987743532,4.08743712,3.195,3.434625,3.520490625,3.608502891,3.698715463,3.791183349,3.885962933,3.983112007,4.082689807,4.184757052
