Periods,Solar PV
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,73.58437613899713
8,247.35758795490767
9,230.67226952275726
10,114.89281594502972
11,385.0474481960291
12,594.3406657268986
13,609.9895498238326
14,751.660629809647
15,711.6255787627698
16,562.0188285012064
17,388.87044007056426
18,155.06338419265887
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,68.36605391972455
32,286.2288317270372
33,501.0065020570669
34,636.0626294944376
35,805.7078959307045
36,893.6929941755471
37,916.4983798553947
38,856.4699675737205
39,748.6671401211012
40,582.653422676199
41,377.28979049161757
42,161.8298931211874
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,39.26894270217314
56,243.33607273218266
57,500.63050775997107
58,686.4093948853854
59,789.9230344182723
60,862.5302640565027
61,877.8702938185447
62,842.0733881287321
63,739.7003161977866
64,578.3871016977988
65,378.6117259495827
66,159.3130266647531
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,18.950209438415843
80,118.98067835262033
81,61.43496182390039
82,70.15984337006543
83,118.72138586961825
84,834.9706967822414
85,860.5513623170075
86,800.2257615654156
87,639.2222316070707
88,307.9867831888625
89,364.90124483782733
90,158.90270742533346
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,37.24896246983457
104,168.01862599315334
105,412.02250314862465
106,621.3805595925653
107,734.4031592316834
108,890.9665584468258
109,914.9004068355455
110,852.0862640528449
111,726.7701304015609
112,336.4596879873598
113,306.986793455852
114,151.36122253934866
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,8.920830853829901
128,176.98843142760654
129,260.3234362183523
130,382.7729089766046
131,181.7042744282119
132,99.95545281740304
133,104.69574654429016
134,121.99135152454684
135,195.3019555192667
136,248.54271003340742
137,158.40135380764784
138,110.00316997003462
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,18.82583586506967
152,127.29111725203185
153,494.3044951687319
154,142.9843100638486
155,130.27724014223918
156,642.282192512204
157,814.3264612018426
158,735.412218117593
159,547.278430207953
160,458.16822208783236
161,355.39456986018087
162,144.25106744198075
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,42.593876702951626
176,181.2086892410719
177,199.61753186838345
178,648.18079102382
179,701.9195137847474
180,509.4641142713968
181,875.6288564658289
182,626.3764973162375
183,196.43970868059733
184,96.7618925969595
