year,discount_factor,annuity_res,annuity_battery,annuity_generator,opex_expected,externalities_expected,embedded_expected,total_before_discount,discounted_total,post_horizon_annuity_tail_discounted,discounted_objective_contribution
2026,0.9523809523809523,35709.34529586033,68510.64679734813,3931.932967727302,33214.02616088088,0.0,31455.345818100428,172821.2970399171,164591.7114665877,0.0,164591.7114665877
2027,0.9070294784580498,35709.34529586033,68510.64679734813,3931.932967727302,39129.57031760094,1.1400770456810507,0.0,147282.63545558238,133589.69202320397,0.0,133589.69202320397
2028,0.863837598531476,35709.34529586033,68510.64679734813,3931.932967727302,45416.7642709887,0.5245412243936846,0.0,153569.21387314887,132658.86092054754,0.0,132658.86092054754
2029,0.8227024747918819,35709.34529586033,68510.64679734813,3931.932967727302,52243.472467648506,32.25335804200625,0.0,160427.6508866263,131984.2254094755,0.0,131984.2254094755
2030,0.7835261664684589,35709.34529586033,68510.64679734813,3931.932967727302,59549.035050664665,65.71637223222443,0.0,167766.67648383265,131449.58088653153,0.0,131449.58088653153
2031,0.7462153966366274,45233.96300548517,78952.03144553851,6823.591650821853,48924.10960563711,15.660778272193554,2811.333715073961,182760.6902008288,136378.84092779525,0.0,136378.84092779525
2032,0.7106813301301214,45233.96300548517,78952.03144553851,6823.591650821853,56313.91743504402,12.83287186739778,0.0,187336.33640875696,133136.4367406793,0.0,133136.4367406793
2033,0.676839362028687,45233.96300548517,78952.03144553851,6823.591650821853,64218.620540943855,22.954470506428876,0.0,195251.16111329582,132153.67132328352,0.0,132153.67132328352
2034,0.6446089162177971,45233.96300548517,78952.03144553851,6823.591650821853,72813.56517127184,79.84262153808223,0.0,203902.99389465546,131437.68790799796,0.0,131437.68790799796
2035,0.6139132535407591,45233.96300548517,78952.03144553851,6823.591650821853,81920.91994906875,108.5908640712762,0.0,213039.09691498557,130787.52511846388,335855.78423915134,130787.52511846388
