year,scenario,total_demand_kwh,served_energy_kwh,lost_load_kwh,lost_load_fraction,total_res_kwh,renewable_potential_kwh,renewable_curtailment_kwh,renewable_curtailment_share,generator_generation_kwh,grid_import_raw_kwh,grid_import_delivered_kwh,grid_export_delivered_kwh,grid_renewable_kwh,renewable_penetration,fuel_consumption,scope1_emissions_kgco2e,scope2_emissions_kgco2e,scope3_emissions_kgco2e,emissions_kgco2e,objective_value
2026,scenario_1,1059055.8900000001,1059055.8900000001,0.0,0.0,873616.716465807,1040576.4213899575,166959.7049241505,0.1604492486012059,0.0,221426.84107253895,221426.84107253895,0.0,0.0,0.7977917503388581,0.0,0.0,77499.39437538863,314553.4581810043,392052.8525563929,1636814.7483394025
2027,scenario_1,1112008.6845,1112008.6845,0.0,0.0,887371.7704927311,1040576.4213899575,153204.6508972264,0.14723056158872233,12.714613892353725,260829.89648029336,260829.89648029336,0.0,0.0,0.7728276049515406,4.238204630784575,11.400770456810507,91290.46376810267,0.0,91301.86453855947,1636814.7483394025
2028,scenario_1,1167609.118725,1167609.118725,0.0,0.0,900779.6606795455,1040576.4213899575,139796.76071041205,0.13434550104804174,5.849902130784585,302762.82873424294,302762.82873424294,0.0,0.0,0.7484366279725305,1.949967376928195,5.245412243936845,105966.99005698503,0.0,105972.23546922897,1636814.7483394025
2029,scenario_1,1225989.57473015,1225989.57473015,0.0,0.0,913936.2078034083,1040576.4213899575,126640.21358654927,0.12170198265437217,359.70287779189124,347330.60877687833,347330.60877687833,0.0,0.0,0.7244110627889957,119.90095926396374,322.53358042006244,121565.7130719074,0.0,121888.24665232746,1636814.7483394025
2030,scenario_1,1287289.053415663,1287289.053415663,0.0,0.0,926761.4182316213,1040576.4213899575,113815.00315833627,0.10937688075452166,732.8963445972986,395039.17675217125,395039.17675217125,0.0,0.0,0.7007470315936998,244.29878153243283,657.1637223222443,138263.71186325993,0.0,138920.87558558217,1636814.7483394025
2031,scenario_1,1351653.506062013,1351653.506062013,0.0,0.0,1068196.0536569725,1318125.4083364585,249929.35467948602,0.1896096935077745,174.65551976424035,325694.9826515438,325694.9826515438,0.0,0.0,0.7662451345862056,58.21850658808012,156.6077827219355,113993.24392804032,28113.337150739608,142263.18886150187,1636814.7483394025
2032,scenario_1,1419236.1813656609,1419236.1813656609,0.0,0.0,1086308.981863554,1318125.4083364585,231816.4264729044,0.1758682633737169,143.11753011967784,375044.4694866412,375044.4694866412,0.0,0.0,0.7432853453058734,47.705843373225946,128.3287186739778,131265.5643203244,0.0,131393.8930389984,1636814.7483394025
2033,scenario_1,1490197.9904385302,1490197.9904385302,0.0,0.0,1104526.9890424835,1318125.4083364585,213598.419293975,0.16204711474574116,255.9978123393555,427441.4761067205,427441.4761067205,0.0,0.0,0.7208650010114123,85.3326041131185,229.5447050642888,149604.51663735218,0.0,149834.06134241648,1636814.7483394025
2034,scenario_1,1564707.889957455,1564707.889957455,0.0,0.0,1122499.033114531,1318125.4083364585,195626.37522192742,0.14841256680486714,890.4381584172738,483049.266052698,483049.266052698,0.0,0.0,0.6987499784668014,296.81271947242465,798.4262153808223,169067.24311844428,0.0,169865.6693338251,1636814.7483394025
2035,scenario_1,1642943.284457026,1642943.284457026,0.0,0.0,1140129.0725940263,1318125.4083364585,177996.33574243216,0.13503748172723004,1211.0505286759426,542909.9982506552,542909.9982506552,0.0,0.0,0.676935722388045,403.68350955864753,1085.9086407127618,190018.49938772933,0.0,191104.4080284421,1636814.7483394025
2026,expected,1059055.8900000001,1059055.8900000001,0.0,0.0,873616.716465807,1040576.4213899575,166959.7049241505,0.1604492486012059,0.0,221426.84107253895,221426.84107253895,0.0,0.0,0.7977917503388581,0.0,0.0,77499.39437538863,314553.4581810043,392052.8525563929,1636814.7483394025
2027,expected,1112008.6845,1112008.6845,0.0,0.0,887371.7704927311,1040576.4213899575,153204.6508972264,0.14723056158872233,12.714613892353725,260829.89648029336,260829.89648029336,0.0,0.0,0.7728276049515406,4.238204630784575,11.400770456810507,91290.46376810267,0.0,91301.86453855947,1636814.7483394025
2028,expected,1167609.118725,1167609.118725,0.0,0.0,900779.6606795455,1040576.4213899575,139796.76071041205,0.13434550104804174,5.849902130784585,302762.82873424294,302762.82873424294,0.0,0.0,0.7484366279725305,1.949967376928195,5.245412243936845,105966.99005698503,0.0,105972.23546922897,1636814.7483394025
2029,expected,1225989.57473015,1225989.57473015,0.0,0.0,913936.2078034083,1040576.4213899575,126640.21358654927,0.12170198265437217,359.70287779189124,347330.60877687833,347330.60877687833,0.0,0.0,0.7244110627889957,119.90095926396374,322.53358042006244,121565.7130719074,0.0,121888.24665232746,1636814.7483394025
2030,expected,1287289.053415663,1287289.053415663,0.0,0.0,926761.4182316213,1040576.4213899575,113815.00315833627,0.10937688075452166,732.8963445972986,395039.17675217125,395039.17675217125,0.0,0.0,0.7007470315936998,244.29878153243283,657.1637223222443,138263.71186325993,0.0,138920.87558558217,1636814.7483394025
2031,expected,1351653.506062013,1351653.506062013,0.0,0.0,1068196.0536569725,1318125.4083364585,249929.35467948602,0.1896096935077745,174.65551976424035,325694.9826515438,325694.9826515438,0.0,0.0,0.7662451345862056,58.21850658808012,156.6077827219355,113993.24392804032,28113.337150739608,142263.18886150187,1636814.7483394025
2032,expected,1419236.1813656609,1419236.1813656609,0.0,0.0,1086308.981863554,1318125.4083364585,231816.4264729044,0.1758682633737169,143.11753011967784,375044.4694866412,375044.4694866412,0.0,0.0,0.7432853453058734,47.705843373225946,128.3287186739778,131265.5643203244,0.0,131393.8930389984,1636814.7483394025
2033,expected,1490197.9904385302,1490197.9904385302,0.0,0.0,1104526.9890424835,1318125.4083364585,213598.419293975,0.16204711474574116,255.9978123393555,427441.4761067205,427441.4761067205,0.0,0.0,0.7208650010114123,85.3326041131185,229.5447050642888,149604.51663735218,0.0,149834.06134241648,1636814.7483394025
2034,expected,1564707.889957455,1564707.889957455,0.0,0.0,1122499.033114531,1318125.4083364585,195626.37522192742,0.14841256680486714,890.4381584172738,483049.266052698,483049.266052698,0.0,0.0,0.6987499784668014,296.81271947242465,798.4262153808223,169067.24311844428,0.0,169865.6693338251,1636814.7483394025
2035,expected,1642943.284457026,1642943.284457026,0.0,0.0,1140129.0725940263,1318125.4083364585,177996.33574243216,0.13503748172723004,1211.0505286759426,542909.9982506552,542909.9982506552,0.0,0.0,0.676935722388045,403.68350955864753,1085.9086407127618,190018.49938772933,0.0,191104.4080284421,1636814.7483394025
