year,discount_factor,annuity_res,annuity_battery,annuity_generator,opex_expected,externalities_expected,embedded_expected,total_before_discount,discounted_total,post_horizon_annuity_tail_discounted,discounted_objective_contribution
2026,0.9523809523809523,53804.16938324903,92161.36523473632,3271.925398870501,29096.47282307391,0.0,0.0,178333.93283992977,169841.8407999331,0.0,169841.8407999331
2027,0.9070294784580498,53804.16938324903,92161.36523473632,3271.925398870501,29096.472823073902,0.0,0.0,178333.93283992977,161754.13409517438,0.0,161754.13409517438
2028,0.863837598531476,53804.16938324903,92161.36523473632,3271.925398870501,29096.472823073906,0.0,0.0,178333.93283992977,154051.55628111845,0.0,154051.55628111845
2029,0.8227024747918819,53804.16938324903,92161.36523473632,3271.925398870501,29096.47282307391,0.0,0.0,178333.93283992977,146715.76788677947,0.0,146715.76788677947
2030,0.7835261664684589,53804.16938324903,92161.36523473632,3271.925398870501,29096.47282307392,0.0,0.0,178333.93283992977,139729.30274931376,0.0,139729.30274931376
2031,0.7462153966366274,53804.16938324903,92161.36523473632,3271.925398870501,29096.47282307392,0.0,0.0,178333.93283992977,133075.52642791785,0.0,133075.52642791785
2032,0.7106813301301214,53804.16938324903,92161.36523473632,3271.925398870501,29096.47282307392,0.0,0.0,178333.93283992977,126738.59659801701,0.0,126738.59659801701
2033,0.676839362028687,53804.16938324903,92161.36523473632,3271.925398870501,29096.472823073917,0.0,0.0,178333.93283992977,120703.42533144477,0.0,120703.42533144477
2034,0.6446089162177971,53804.16938324903,92161.36523473632,3271.925398870501,29096.472823073913,0.0,0.0,178333.93283992977,114955.64317280454,0.0,114955.64317280454
2035,0.6139132535407591,53804.16938324903,92161.36523473632,3271.925398870501,29096.472823073917,0.0,0.0,178333.93283992977,109481.56492648051,342851.4466471842,109481.56492648051
