meta,scenario_1
hour,typical_year
192,0.42600275
193,0.483201083
194,0.466801233
195,1.354336517
196,6.992821233
197,6.829405417
198,2.663339433
199,5.68054951
200,22.80741046
201,39.56145227
202,62.626783
203,38.77994447
204,8.36084898
205,32.03692253
206,13.82387812
207,5.176239805
208,3.538695932
209,3.159516247
210,7.233390767
211,8.9568084
212,8.33250885
213,8.305940117
214,8.288872967
215,6.043239617
216,0.440202617
217,0.481251433
218,0.4917537
219,1.01067135
220,6.423705367
221,6.835705467
222,2.931158383
223,3.596408517
224,21.10703249
225,57.7842256
226,58.43528766
227,14.83242113
228,5.442893733
229,46.51499369
230,21.01935339
231,4.441070091
232,4.761641321
233,5.80132605
234,7.800940933
235,9.206623883
236,8.64368975
237,8.56985625
238,8.127507583
239,6.365675183
240,0.44480285
241,0.456802683
242,0.50510305
243,1.082338467
244,7.349572517
245,8.175656167
246,4.834178817
247,15.26849233
248,32.48399164
249,78.36099303
250,62.43707338
251,29.86103772
252,24.91378762
253,70.658552
254,54.36874243
255,19.9866373
256,14.92324363
257,7.418175617
258,7.088048683
259,8.536012017
260,9.255758883
261,9.1666399
262,8.494658117
263,5.676728067
264,0.446336233
265,0.482118983
266,0.509135067
267,1.233751817
268,7.478589333
269,7.3207097
270,3.919175833
271,25.96958982
272,66.55773288
273,78.32529385
274,62.79567629
275,37.12268467
276,28.4546024
277,67.62377058
278,33.54995973
279,16.93814498
280,10.54843849
281,7.353867459
282,7.459945417
283,8.401963267
284,8.712943583
285,8.18024405
286,7.503557167
287,6.0988885
288,0.443352683
289,0.496718733
290,0.506353317
291,1.09382215
292,7.42654015
293,7.781975833
294,5.196514083
295,19.94845928
296,72.93784346
297,82.81380213
298,55.95369304
299,31.22021343
300,25.46990735
301,60.48963624
302,31.46854859
303,20.76808059
304,10.6106742
305,5.891494417
306,8.925662833
307,9.65667975
308,8.806928617
309,8.778442767
310,7.914875083
311,5.509892233
312,0.455002233
313,0.482035
314,0.521136383
315,0.937670267
316,6.85750585
317,7.065793333
318,4.98462965
319,9.975035323
320,35.57827714
321,71.06546772
322,78.76027283
323,41.88580894
324,38.27196508
325,71.70282471
326,41.28784662
327,15.73235151
328,7.205237975
329,5.43061965
330,8.378558533
331,9.490574567
332,9.9942881
333,8.7013412
334,9.055790733
335,6.047161317
336,0.4393031
337,0.499651733
338,0.61191855
339,1.258687233
340,7.251454433
341,7.39650765
342,5.55714655
343,26.27458638
344,45.26323478
345,83.18073592
346,49.92199191
347,26.16340058
348,32.48802275
349,65.23034635
350,42.13120195
351,16.43814579
352,10.9207252
353,7.73858415
354,8.858331083
355,10.2555621
356,8.540880433
357,7.819812067
358,7.457459117
359,5.510874867
360,0.433402617
361,0.46980115
362,0.479069067
363,1.224337417
364,6.6179881
365,7.595025433
366,2.960108283
367,1.982210033
368,34.63378681
369,28.2431258
370,65.49148803
371,36.68364131
372,9.364613317
373,32.81775857
374,9.719800453
375,4.50586482
376,4.742144562
377,5.595206235
378,8.652906933
379,9.20892255
380,9.653038883
381,8.8767392
382,8.457306033
383,5.756092283
384,0.43620235
385,0.459601617
386,0.486634933
387,1.027668967
388,6.819203833
389,7.18183835
390,2.50842135
391,1.7845101
392,10.85970687
393,46.40836133
394,44.84034627
395,21.92824735
396,9.486773265
397,39.28181963
398,38.91190624
399,3.808140743
400,4.116632552
401,4.575372612
402,8.136457567
403,9.698358383
404,9.277724167
405,8.835421917
406,7.961420067
407,6.728022483
408,0.453253467
409,0.502885733
410,0.526670517
411,1.336738433
412,6.998723233
413,7.977528367
414,3.97660035
415,23.79581386
416,56.48652192
417,65.30152065
418,65.17991388
419,35.53928061
420,27.71886952
421,60.63540642
422,39.73891538
423,15.80547625
424,10.15290845
425,6.966292267
426,9.484597333
427,9.399930117
428,8.503345883
429,8.55669195
430,7.8054759
431,6.102828633
432,0.415203067
433,0.51956785
434,0.54393685
435,1.508971617
436,7.264775983
437,7.391909083
438,4.307727667
439,12.0862384
440,48.65824744
441,80.64078381
442,65.69010218
443,30.67703812
444,28.85513577
445,78.91473947
446,50.02010758
447,16.80062219
448,11.09767495
449,5.5613652
450,6.526629
451,8.7483922
452,8.9762093
453,8.7352252
454,7.62787535
455,6.666758733
456,0.44358605
457,0.4910681
458,0.503018167
459,1.117537667
460,6.811055683
461,7.75110665
462,4.859176417
463,12.8403558
464,49.32243152
465,83.15495933
466,86.47193039
467,42.80717488
468,33.24453326
469,52.43284548
470,24.5144614
471,17.04800964
472,11.04030163
473,7.253714817
474,10.09494293
475,9.4064945
476,8.662877983
477,7.9859275
478,7.8760759
479,6.519306917
480,0.440152683
481,0.471068967
482,0.56205295
483,1.583055183
484,8.0325748
485,8.465073817
486,4.020893867
487,17.7590988
488,32.89185737
489,82.0786066
490,62.76933575
491,30.79767955
492,32.20848247
493,77.46042225
494,40.93409989
495,19.85545012
496,10.77298319
497,6.470623104
498,9.61356155
499,8.633696533
500,8.059296517
501,7.660729633
502,8.03884445
503,6.079292617
504,0.4351537
505,0.493004
506,0.57462215
507,1.581790567
508,7.683708117
509,7.780611583
510,4.27828265
511,32.26107038
512,41.93745805
513,68.84853148
514,67.6457388
515,40.66945272
516,25.26142421
517,66.73567012
518,40.58574855
519,18.98566769
520,13.2951044
521,8.0514061
522,9.006350483
523,8.89311565
524,8.8471617
525,8.78017485
526,8.02985825
527,7.2558759
528,0.438387067
529,0.4907521
530,0.491801433
531,0.774485817
532,6.374671067
533,7.184072833
534,3.933757267
535,4.225292033
536,32.17519439
537,52.7161742
538,51.93087062
539,17.23235471
540,7.055782064
541,38.7252973
542,19.61021959
543,3.652532977
544,3.787450095
545,4.679896886
546,6.899940733
547,8.422974667
548,8.026107917
549,8.105657567
550,7.9315907
551,5.300075217
552,0.4298038
553,0.470619517
554,0.5100022
555,1.039987517
556,6.5550058
557,6.913459367
558,2.03106105
559,2.401346633
560,30.13718896
561,52.38293128
562,35.95349299
563,16.47664083
564,5.087163586
565,35.10826774
566,28.5846198
567,6.06449285
568,4.647994945
569,4.614457033
570,8.981572217
571,10.24172455
572,9.812524267
573,9.987606517
574,8.271675383
575,5.200393717
576,0.421019683
577,0.492401917
578,0.52968525
579,1.454774383
580,7.568242667
581,8.252825283
582,3.248880983
583,6.679680117
584,63.56417201
585,66.91298531
586,75.1830655
587,48.55552029
588,27.88287419
589,53.85730563
590,33.66446857
591,20.24816353
592,9.76969304
593,8.154801467
594,8.685429567
595,11.3317772
596,9.10641005
597,8.3584935
598,8.531942283
599,5.880643283
600,0.436936617
601,0.52288585
602,0.557204917
603,1.578491767
604,7.459874317
605,7.290759217
606,4.058394767
607,14.61667459
608,46.78459477
609,65.02319984
610,67.57235403
611,30.00247404
612,28.96702658
613,80.64973319
614,40.98376667
615,18.5591073
616,10.88717694
617,5.197042502
618,5.978396983
619,9.251830233
620,9.1803272
621,8.166443167
622,7.630559433
623,5.866158767
624,0.441802483
625,0.47460125
626,0.89191865
627,1.954504167
628,7.81897535
629,8.36376105
630,4.029347033
631,17.06667755
632,48.30117238
633,77.40306789
634,71.45307212
635,28.22587357
636,28.26551741
637,72.98644378
638,41.50271006
639,16.23423336
640,13.02080899
641,8.287616067
642,9.64329685
643,9.4185629
644,8.149029333
645,8.273977767
646,8.29419265
647,6.8852807
