;1;2
1;0;18259,85047
2;0;19897,00504
3;0;18637,33714
4;0;13637,27082
5;0;9144,889364
6;0;19908,69551
7;2;32942,55314
8;109;32593,93428
9;336;26637,05358
10;542;18721,59798
11;673;12155,00332
12;742;6946,278275
13;772;3410,049262
14;740;1792,399844
15;673;1348,655649
16;534;2198,472679
17;389;4050,247462
18;179;9646,917902
19;7;15601,17968
20;0;18821,3468
21;0;18841,50552
22;0;18640,63379
23;0;16002,36577
24;0;12318,64588
25;0;10208,8967
26;0;9462,411441
27;0;9448,358465
28;0;9970,325406
29;0;9308,005179
30;0;16795,33764
31;4;21547,57198
32;145;15961,60447
33;385;10563,423
34;568;7415,960128
35;688;4400,545731
36;758;2297,364207
37;781;473,9527547
38;756;252,8126209
39;678;92,34686262
40;569;54,38875808
41;392;152,3280802
42;186;457,254548
43;9;3397,195924
44;0;9540,574793
45;0;18422,27973
46;0;20324,07032
47;0;8624,1905
48;0;1875,386103
49;0;613,0203233
50;0;372,9252062
51;0;256,7483912
52;0;293,5599839
53;0;300,8859989
54;0;118,4527824
55;5;253,438569
56;187;344,0651523
57;404;297,6916633
58;574;119,5495273
59;685;0
60;750;0
61;775;0
62;749;0
63;670;0
64;538;0
65;364;0
66;146;2,371312203
67;5;271,4969696
68;0;402,2351049
69;0;325,4253578
70;0;131,7142494
71;0;199,9371909
72;0;475,3332205
73;0;1972,709278
74;0;2139,355785
75;0;1195,074223
76;0;828,2659016
77;0;495,1965988
78;0;264,7149824
79;2;443,86233
80;96;2194,56747
81;214;2962,059416
82;294;2087,239896
83;281;470,5785063
84;374;132,7864704
85;552;0
86;491;0
87;396;0
88;356;0
89;249;0
90;129;178,2392072
91;7;539,9914785
92;0;2767,719064
93;0;5325,650787
94;0;6739,150192
95;0;6632,960163
96;0;6201,51873
97;0;6137,002791
98;0;6213,530234
99;0;6114,47782
100;0;5799,710529
101;0;4025,176527
102;0;2186,145944
103;3;2367,734793
104;130;895,0560741
105;383;208,2815063
106;553;0
107;670;0
108;745;0
109;768;0
110;737;0
111;661;0
112;541;0
113;344;0
114;158;0
115;7;0
116;0;0
117;0;0
118;0;0
119;0;0
120;0;0
121;0;0
122;0;0
123;0;0
124;0;0
125;0;0
126;0;0
127;5;0
128;130;0
129;315;0
130;435;0
131;480;0
132;508;0
133;516;0
134;520;89,22609906
135;457;182,3167663
136;344;154,9654339
137;229;0
138;105;0
139;5;0
140;0;143,1163222
141;0;213,4386187
142;0;145,3204558
143;0;159,8722406
144;0;470,6213218
145;0;5725,461593
146;0;12369,30178
147;0;12584,6115
148;0;10034,16105
149;0;4865,319256
150;0;347,5131227
151;5;22,59779547
152;177;5,076027276
153;392;173,2231839
154;563;354,301481
155;684;554,8412599
156;754;1306,872313
157;775;1612,26518
158;748;1495,97808
159;673;912,7283295
160;552;391,1977278
161;389;236,1491244
162;187;154,2042266
163;11;24,56945069
164;0;0
165;0;169,4182747
166;0;625,4099401
167;0;1981,032815
168;0;456,6223866
169;0;0
170;0;0
171;0;0
172;0;0
173;0;203,5949282
174;0;310,4506654
175;3;361,5512148
176;103;347,2295149
177;241;346,2074401
178;374;374,6748412
179;482;248,236819
180;558;30,87518564
181;611;0
182;633;0
183;583;0
184;455;0
185;266;0
186;133;136,9290247
187;7;867,7091948
188;0;3938,23398
189;0;6158,786076
190;0;5047,143803
