year,scenario,total_demand_kwh,served_energy_kwh,lost_load_kwh,lost_load_fraction,total_res_kwh,renewable_potential_kwh,renewable_curtailment_kwh,renewable_curtailment_share,generator_generation_kwh,grid_import_raw_kwh,grid_import_delivered_kwh,grid_export_delivered_kwh,grid_renewable_kwh,renewable_penetration,fuel_consumption,scope1_emissions_kgco2e,scope2_emissions_kgco2e,scope3_emissions_kgco2e,emissions_kgco2e,objective_value
2026,scenario_1,1059055.8900000001,1059055.8900000001,0.0,0.0,507930.8674295854,678755.3950958678,170824.52766628237,0.2516731784388322,6203.950628974869,554340.4140730201,554340.4140730201,0.0,0.0,0.47537916851500295,2067.9835429916225,0.0,0.0,0.0,0.0,1457599.0829853152
2027,scenario_1,1112008.6845,1112008.6845,0.0,0.0,519563.9672529444,678755.3950958678,159191.42784292338,0.23453430940381564,6360.313273976911,595543.1737699641,595543.1737699641,0.0,0.0,0.4632893850483516,2120.1044246589704,0.0,0.0,0.0,0.0,1457599.0829853152
2028,scenario_1,1167609.118725,1167609.118725,0.0,0.0,531201.9108214376,678755.3950958678,147553.4842744302,0.21738830415276428,5529.374397744354,640288.178177404,640288.178177404,0.0,0.0,0.45131106777837027,1843.124799248118,0.0,0.0,0.0,0.0,1457599.0829853152
2029,scenario_1,1225989.57473015,1225989.57473015,0.0,0.0,542584.8575354372,678755.3950958678,136170.5375604306,0.2006179818890394,8322.601247793107,684419.959351525,684419.959351525,0.0,0.0,0.43922352047742663,2774.200415931036,0.0,0.0,0.0,0.0,1457599.0829853152
2030,scenario_1,1287289.053415663,1287289.053415663,0.0,0.0,553728.7586056308,678755.3950958678,125026.63649023697,0.18419984193654643,10745.239667131762,732012.2462323036,732012.2462323036,0.0,0.0,0.42709960167530886,3581.7465557105875,0.0,0.0,0.0,0.0,1457599.0829853152
2031,scenario_1,1351653.506062013,1351653.506062013,0.0,0.0,646096.8884802242,864054.0231708228,217957.13469059858,0.2522494298339823,7575.468887748155,709979.9334173871,709979.9334173871,0.0,0.0,0.47379885095790936,2525.1562959160515,0.0,0.0,0.0,0.0,1457599.0829853152
2032,scenario_1,1419236.1813656609,1419236.1813656609,0.0,0.0,660923.4030629852,864054.0231708228,203130.6201078376,0.23509018494284453,6334.087676222178,763910.5632802004,763910.5632802004,0.0,0.0,0.46180698430683564,2111.362558740726,0.0,0.0,0.0,0.0,1457599.0829853152
2033,scenario_1,1490197.9904385302,1490197.9904385302,0.0,0.0,675749.1799859463,864054.0231708228,188304.8431848765,0.21793179377124292,7980.812807937134,818308.3108501292,818308.3108501292,0.0,0.0,0.44988811426882275,2660.270935979044,0.0,0.0,0.0,0.0,1457599.0829853152
2034,scenario_1,1564707.889957455,1564707.889957455,0.0,0.0,690248.2351127632,864054.0231708228,173805.78805805952,0.20115152918360785,11965.731545898725,874252.8691841866,874252.8691841866,0.0,0.0,0.43784507191597605,3988.577181966242,0.0,0.0,0.0,0.0,1457599.0829853152
2035,scenario_1,1642943.284457026,1642943.284457026,0.0,0.0,704440.1544775998,864054.0231708228,159613.868693223,0.18472672357624964,9405.492800121803,940624.5732414994,940624.5732414994,0.0,0.0,0.42577989361242535,3135.164266707268,0.0,0.0,0.0,0.0,1457599.0829853152
2026,expected,1059055.8900000001,1059055.8900000001,0.0,0.0,507930.8674295854,678755.3950958678,170824.52766628237,0.2516731784388322,6203.950628974869,554340.4140730201,554340.4140730201,0.0,0.0,0.47537916851500295,2067.9835429916225,0.0,0.0,0.0,0.0,1457599.0829853152
2027,expected,1112008.6845,1112008.6845,0.0,0.0,519563.9672529444,678755.3950958678,159191.42784292338,0.23453430940381564,6360.313273976911,595543.1737699641,595543.1737699641,0.0,0.0,0.4632893850483516,2120.1044246589704,0.0,0.0,0.0,0.0,1457599.0829853152
2028,expected,1167609.118725,1167609.118725,0.0,0.0,531201.9108214376,678755.3950958678,147553.4842744302,0.21738830415276428,5529.374397744354,640288.178177404,640288.178177404,0.0,0.0,0.45131106777837027,1843.124799248118,0.0,0.0,0.0,0.0,1457599.0829853152
2029,expected,1225989.57473015,1225989.57473015,0.0,0.0,542584.8575354372,678755.3950958678,136170.5375604306,0.2006179818890394,8322.601247793107,684419.959351525,684419.959351525,0.0,0.0,0.43922352047742663,2774.200415931036,0.0,0.0,0.0,0.0,1457599.0829853152
2030,expected,1287289.053415663,1287289.053415663,0.0,0.0,553728.7586056308,678755.3950958678,125026.63649023697,0.18419984193654643,10745.239667131762,732012.2462323036,732012.2462323036,0.0,0.0,0.42709960167530886,3581.7465557105875,0.0,0.0,0.0,0.0,1457599.0829853152
2031,expected,1351653.506062013,1351653.506062013,0.0,0.0,646096.8884802242,864054.0231708228,217957.13469059858,0.2522494298339823,7575.468887748155,709979.9334173871,709979.9334173871,0.0,0.0,0.47379885095790936,2525.1562959160515,0.0,0.0,0.0,0.0,1457599.0829853152
2032,expected,1419236.1813656609,1419236.1813656609,0.0,0.0,660923.4030629852,864054.0231708228,203130.6201078376,0.23509018494284453,6334.087676222178,763910.5632802004,763910.5632802004,0.0,0.0,0.46180698430683564,2111.362558740726,0.0,0.0,0.0,0.0,1457599.0829853152
2033,expected,1490197.9904385302,1490197.9904385302,0.0,0.0,675749.1799859463,864054.0231708228,188304.8431848765,0.21793179377124292,7980.812807937134,818308.3108501292,818308.3108501292,0.0,0.0,0.44988811426882275,2660.270935979044,0.0,0.0,0.0,0.0,1457599.0829853152
2034,expected,1564707.889957455,1564707.889957455,0.0,0.0,690248.2351127632,864054.0231708228,173805.78805805952,0.20115152918360785,11965.731545898725,874252.8691841866,874252.8691841866,0.0,0.0,0.43784507191597605,3988.577181966242,0.0,0.0,0.0,0.0,1457599.0829853152
2035,expected,1642943.284457026,1642943.284457026,0.0,0.0,704440.1544775998,864054.0231708228,159613.868693223,0.18472672357624964,9405.492800121803,940624.5732414994,940624.5732414994,0.0,0.0,0.42577989361242535,3135.164266707268,0.0,0.0,0.0,0.0,1457599.0829853152
