year,scenario,weight,fuel_cost,grid_import_cost,grid_export_revenue,res_subsidy_revenue,annual_variable_cost,fixed_om_res,fixed_om_battery,fixed_om_generator,fixed_om_total,lost_load_penalty,scope1_emissions,scope2_emissions,scope3_res_emissions,scope3_battery_emissions,scope3_generator_emissions,scope3_emissions,total_emissions,scope1_emissions_cost,scope2_emissions_cost,scope3_res_emissions_cost,scope3_battery_emissions_cost,scope3_generator_emissions_cost,emissions_cost,total_operating_cost
2026,scenario_1,1.0,2481.5802515899472,83151.06211095257,0.0,0.0,85632.64236254251,6565.741138012056,2657.9311521988975,3544.7698180460925,12768.442108257046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98401.08447079956
2027,scenario_1,1.0,2544.1253095907655,89331.47606549456,0.0,0.0,91875.60137508532,6565.741138012056,2657.9311521988975,3544.7698180460925,12768.442108257046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104644.04348334236
2028,scenario_1,1.0,2211.749759097742,96043.22672661042,0.0,0.0,98254.97648570816,6565.741138012056,2657.9311521988975,3544.7698180460925,12768.442108257046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111023.41859396521
2029,scenario_1,1.0,3329.0404991172427,102662.9939027289,0.0,0.0,105992.03440184613,6565.741138012056,2657.9311521988975,3544.7698180460925,12768.442108257046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118760.47651010318
2030,scenario_1,1.0,4298.095866852704,109801.83693484552,0.0,0.0,114099.93280169822,6565.741138012056,2657.9311521988975,3544.7698180460925,12768.442108257046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126868.37490995527
2031,scenario_1,1.0,3030.1875550992618,106496.99001260797,0.0,0.0,109527.17756770723,8358.173041992855,3349.7310515882195,4469.73658591261,16177.640679493685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125704.8182472009
2032,scenario_1,1.0,2533.635070488872,114586.58449203003,0.0,0.0,117120.2195625189,8358.173041992855,3349.7310515882195,4469.73658591261,16177.640679493685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133297.86024201257
2033,scenario_1,1.0,3192.3251231748527,122746.24662751947,0.0,0.0,125938.57175069433,8358.173041992855,3349.7310515882195,4469.73658591261,16177.640679493685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142116.21243018802
2034,scenario_1,1.0,4786.292618359489,131137.93037762798,0.0,0.0,135924.22299598748,8358.173041992855,3349.7310515882195,4469.73658591261,16177.640679493685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152101.86367548117
2035,scenario_1,1.0,3762.1971200487196,141093.68598622447,0.0,0.0,144855.8831062732,8358.173041992855,3349.7310515882195,4469.73658591261,16177.640679493685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161033.52378576688
2026,Expected,1.0,2481.5802515899472,83151.06211095257,0.0,0.0,85632.64236254251,6565.741138012056,2657.9311521988975,3544.7698180460925,12768.442108257046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98401.08447079956
2027,Expected,1.0,2544.1253095907655,89331.47606549456,0.0,0.0,91875.60137508532,6565.741138012056,2657.9311521988975,3544.7698180460925,12768.442108257046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104644.04348334236
2028,Expected,1.0,2211.749759097742,96043.22672661042,0.0,0.0,98254.97648570816,6565.741138012056,2657.9311521988975,3544.7698180460925,12768.442108257046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111023.41859396521
2029,Expected,1.0,3329.0404991172427,102662.9939027289,0.0,0.0,105992.03440184613,6565.741138012056,2657.9311521988975,3544.7698180460925,12768.442108257046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118760.47651010318
2030,Expected,1.0,4298.095866852704,109801.83693484552,0.0,0.0,114099.93280169822,6565.741138012056,2657.9311521988975,3544.7698180460925,12768.442108257046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126868.37490995527
2031,Expected,1.0,3030.1875550992618,106496.99001260797,0.0,0.0,109527.17756770723,8358.173041992855,3349.7310515882195,4469.73658591261,16177.640679493685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125704.8182472009
2032,Expected,1.0,2533.635070488872,114586.58449203003,0.0,0.0,117120.2195625189,8358.173041992855,3349.7310515882195,4469.73658591261,16177.640679493685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133297.86024201257
2033,Expected,1.0,3192.3251231748527,122746.24662751947,0.0,0.0,125938.57175069433,8358.173041992855,3349.7310515882195,4469.73658591261,16177.640679493685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142116.21243018802
2034,Expected,1.0,4786.292618359489,131137.93037762798,0.0,0.0,135924.22299598748,8358.173041992855,3349.7310515882195,4469.73658591261,16177.640679493685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152101.86367548117
2035,Expected,1.0,3762.1971200487196,141093.68598622447,0.0,0.0,144855.8831062732,8358.173041992855,3349.7310515882195,4469.73658591261,16177.640679493685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161033.52378576688
