year,discount_factor,annuity_res,annuity_battery,annuity_generator,opex_expected,externalities_expected,embedded_expected,total_before_discount,discounted_total,post_horizon_annuity_tail_discounted,discounted_objective_contribution
2026,0.9523809523809523,23292.773386629775,17210.71220764823,16823.18248122458,85632.64236254251,0.0,0.0,142959.3104380451,136151.7242267096,0.0,136151.7242267096
2027,0.9070294784580498,23292.773386629775,17210.71220764823,16823.18248122458,91875.60137508532,0.0,0.0,149202.26945058792,135330.85664452417,0.0,135330.85664452417
2028,0.863837598531476,23292.773386629775,17210.71220764823,16823.18248122458,98254.97648570816,0.0,0.0,155581.64456121076,134397.274213334,0.0,134397.274213334
2029,0.8227024747918819,23292.773386629775,17210.71220764823,16823.18248122458,105992.03440184613,0.0,0.0,163318.70247734874,134362.70070791384,0.0,134362.70070791384
2030,0.7835261664684589,23292.773386629775,17210.71220764823,16823.18248122458,114099.93280169822,0.0,0.0,171426.6008772008,134317.2274160317,0.0,134317.2274160317
2031,0.7462153966366274,29651.6457930785,21690.27480422622,21212.997765045806,109527.17756770723,0.0,0.0,182082.09593005775,135872.4634348765,0.0,135872.4634348765
2032,0.7106813301301214,29651.6457930785,21690.27480422622,21212.997765045806,117120.2195625189,0.0,0.0,189675.13792486943,134798.57931306044,0.0,134798.57931306044
2033,0.676839362028687,29651.6457930785,21690.27480422622,21212.997765045806,125938.57175069433,0.0,0.0,198493.49011304486,134348.20721496077,0.0,134348.20721496077
2034,0.6446089162177971,29651.6457930785,21690.27480422622,21212.997765045806,135924.22299598748,0.0,0.0,208479.141358338,134387.51336501518,0.0,134387.51336501518
2035,0.6139132535407591,29651.6457930785,21690.27480422622,21212.997765045806,144855.8831062732,0.0,0.0,217410.80146862371,133471.37248450684,220650.48695743128,133471.37248450684
