scenario,total_demand_kwh,served_energy_kwh,lost_load_kwh,lost_load_fraction,total_res_kwh,generator_generation_kwh,renewable_potential_kwh,renewable_curtailment_kwh,renewable_curtailment_share,grid_import_raw_kwh,grid_import_delivered_kwh,grid_export_raw_kwh,grid_export_delivered_kwh,grid_renewable_kwh,renewable_penetration,fuel_consumption,scope1_emissions_kgco2e,scope2_emissions_kgco2e,scope3_emissions_kgco2e,emissions_kgco2e,investment_annuity_cost,fixed_om_cost,fuel_cost,grid_import_cost,grid_export_revenue,grid_net_cost,res_subsidy_revenue,annual_variable_cost,lost_load_cost,emissions_cost,total_operating_cost,reported_total_annual_cost,solver_objective_value,objective_value,weight
scenario_1,159238.21765251498,152277.99570841165,6960.221944103351,0.04370949415731182,159881.59655841696,0.0,243716.3780784171,83834.78152000014,0.3439850131574901,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9568.666666666668,5776.5,0.0,0.0,0.0,0.0,0.0,0.0,3410.508752610642,0.0,9187.008752610642,18755.675419277308,18762.91884956079,18762.91884956079,
expected,159238.21765251498,152277.99570841165,6960.221944103351,0.04370949415731182,159881.59655841696,0.0,243716.3780784171,83834.78152000014,0.3439850131574901,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9568.666666666668,5776.5,0.0,0.0,0.0,0.0,0.0,0.0,3410.508752610642,0.0,9187.008752610642,18755.675419277308,18762.91884956079,18762.91884956079,1.0
