inv_step,inv_step_start_year,technology,vintage_label,display_label,fuel_vintage_label,resource,units,installed_capacity,capacity_unit
1,2026,renewable,Renewable technology 1,Renewable technology 1 (step 1),,Solar,958.2996262202447,958.2996262202447,kW
1,2026,battery,Storage technology 1,Storage technology 1 (step 1),,,2130.531045083146,2130.531045083146,kWh
1,2026,generator,Backup technology 1,Backup technology 1 (step 1),Fuel 1,,81.91428047309768,81.91428047309768,kW
2,2031,renewable,Renewable technology 2,Renewable technology 2 (step 2),,Solar,264.76051807083115,264.76051807083115,kW
2,2031,battery,Storage technology 2,Storage technology 2 (step 2),,,588.6264461741625,588.6264461741625,kWh
2,2031,generator,Backup technology 2,Backup technology 2 (step 2),Fuel 2,,22.631405392839298,22.631405392839298,kW
