period,year,scenario,load_demand,res_generation_total,generator_generation,battery_charge,battery_discharge,battery_soc,lost_load,grid_import,grid_export,grid_import_delivered,grid_export_delivered
4,2029,scenario_1,62.14825575,0.0,0.0,0.0,62.14825575,651.3127588667076,0.0,0.0,0.0,0.0,0.0
4,2030,scenario_1,65.25566854,0.0,0.0,0.0,65.25566854,628.1420778737629,0.0,0.0,0.0,0.0,0.0
4,2031,scenario_1,68.51845196,0.0,0.0,0.0,68.51845196,759.3993647747682,0.0,0.0,0.0,0.0,0.0
4,2032,scenario_1,71.94437456,0.0,0.0,0.0,71.94437456,796.468227806894,0.0,0.0,0.0,0.0,0.0
4,2033,scenario_1,75.54159329,0.0,0.0,0.0,75.54159329,821.1421105985605,0.0,0.0,0.0,0.0,0.0
4,2034,scenario_1,79.31867296,0.0,0.0,0.0,79.31867296,821.0064210713092,0.0,0.0,0.0,0.0,0.0
4,2035,scenario_1,83.2846066,0.0,22.631405392839298,0.0,60.653201207160706,800.5158880475186,0.0,0.0,0.0,0.0,0.0
5,2026,scenario_1,66.868,0.0,0.0,0.0,66.868,893.4467725415732,0.0,0.0,0.0,0.0,0.0
5,2027,scenario_1,70.2114,0.0,0.0,0.0,70.2114,565.334634703426,0.0,0.0,0.0,0.0,0.0
5,2028,scenario_1,73.72197,0.0,0.0,0.0,73.72197,581.731314390926,0.0,0.0,0.0,0.0,0.0
5,2029,scenario_1,77.4080685,0.0,0.0,0.0,77.4080685,586.5749924604576,0.0,0.0,0.0,0.0,0.0
5,2030,scenario_1,81.27847193,0.0,42.09197107322684,0.0,39.18650085677316,560.1674231445962,0.0,0.0,0.0,0.0,0.0
5,2031,scenario_1,85.34239552,0.0,0.0,0.0,85.34239552,688.0259773164349,0.0,0.0,0.0,0.0,0.0
5,2032,scenario_1,89.6095153,0.0,0.0,0.0,89.6095153,721.5261709735605,0.0,0.0,0.0,0.0,0.0
5,2033,scenario_1,94.08999106,0.0,0.0,0.0,94.08999106,742.4529509214773,0.0,0.0,0.0,0.0,0.0
5,2034,scenario_1,98.79449062,0.0,22.631405392839298,0.0,76.1630852271607,738.3828034046426,0.0,0.0,0.0,0.0,0.0
5,2035,scenario_1,103.7342151,0.0,25.524474223321747,0.0,78.20974087667825,737.3354701233928,0.0,0.0,0.0,0.0,0.0
6,2026,scenario_1,10.6,0.3929028467503003,0.0,0.0,10.2070971532497,823.7926058749065,0.0,0.0,0.0,0.0,0.0
6,2027,scenario_1,11.13,0.3929028467503003,0.0,0.0,10.737097153249701,492.19775970342596,0.0,0.0,0.0,0.0,0.0
6,2028,scenario_1,11.6865,0.3929028467503003,0.0,0.0,11.293597153249701,504.9375956409259,0.0,0.0,0.0,0.0,0.0
6,2029,scenario_1,12.270825,0.3929028467503003,11.8779221532497,0.0,0.0,505.9415877729575,0.0,0.0,0.0,0.0,0.0
6,2030,scenario_1,12.88436625,0.3929028467503003,12.4914634032497,0.0,0.0,519.3481514187908,0.0,0.0,0.0,0.0,0.0
6,2031,scenario_1,13.52858456,0.5014546591593411,13.02712990084066,0.0,0.0,599.1276486497683,0.0,0.0,0.0,0.0,0.0
6,2032,scenario_1,14.20501379,0.5014546591593411,0.0,0.0,13.70355913084066,628.1829258693939,0.0,0.0,0.0,0.0,0.0
6,2033,scenario_1,14.91526448,0.5014546591593411,0.0,0.0,14.413809820840658,644.4425435673106,0.0,0.0,0.0,0.0,0.0
6,2034,scenario_1,15.6610277,0.5014546591593411,2.3701304033221415,0.0,12.789442637518517,659.0462562930168,0.0,0.0,0.0,0.0,0.0
6,2035,scenario_1,16.44407909,0.5014546591593411,0.0,0.0,15.942624430840658,655.8669900435196,0.0,0.0,0.0,0.0,0.0
7,2026,scenario_1,222.357,180.76405849392475,0.0,0.0,41.59294150607525,813.1602130069381,0.0,0.0,0.0,0.0,0.0
7,2027,scenario_1,233.47485,180.76405849392475,0.0,0.0,52.71079150607525,481.0132835021242,0.0,0.0,0.0,0.0,0.0
7,2028,scenario_1,245.1485925,180.76405849392475,0.0,0.0,64.38453400607526,493.17343193962415,0.0,0.0,0.0,0.0,0.0
7,2029,scenario_1,257.4060221,180.76405849392475,0.0,0.0,76.64196360607522,505.9415877729575,0.0,0.0,0.0,0.0,0.0
7,2030,scenario_1,270.2763232,180.76405849392475,0.0,0.0,89.51226470607523,519.3481514187908,0.0,0.0,0.0,0.0,0.0
7,2031,scenario_1,283.7901394,230.70583501762565,0.0,0.0,53.08430438237434,599.1276486497683,0.0,0.0,0.0,0.0,0.0
7,2032,scenario_1,297.9796464,230.70583501762565,0.0,0.0,67.27381138237433,613.9083851081016,0.0,0.0,0.0,0.0,0.0
7,2033,scenario_1,312.8786287,230.70583501762565,0.0,0.0,82.17279368237433,629.4281583372682,0.0,0.0,0.0,0.0,0.0
7,2034,scenario_1,328.5225601,230.70583501762565,0.0,0.0,97.81672508237438,645.7239202122684,0.0,0.0,0.0,0.0,0.0
7,2035,scenario_1,344.9486881,230.70583501762565,22.631405392839298,0.0,91.61144768953508,639.2600895947273,0.0,0.0,0.0,0.0,0.0
8,2026,scenario_1,250.941,397.4547699748465,0.0,146.5137699748465,0.0,769.834232271443,0.0,0.0,0.0,0.0,0.0
8,2027,scenario_1,263.48805,397.4547699748465,0.0,133.9667199748465,0.0,426.1062090166291,0.0,0.0,0.0,0.0,0.0
8,2028,scenario_1,276.6624525,397.4547699748465,0.0,120.79231747484653,0.0,426.1062090166291,0.0,0.0,0.0,0.0,0.0
8,2029,scenario_1,290.4955751,397.4547699748465,0.0,106.9591948748465,0.0,426.1062090166291,0.0,0.0,0.0,0.0,0.0
8,2030,scenario_1,305.0203539,305.0203539,0.0,0.0,0.0,426.1062090166291,0.0,0.0,0.0,0.0,0.0
8,2031,scenario_1,320.2713716,507.2641948447237,0.0,186.9928232447237,0.0,543.8314982514617,0.0,0.0,0.0,0.0,0.0
8,2032,scenario_1,336.2849402,507.2641948447237,0.0,170.9792546447237,0.0,543.8314982514617,0.0,0.0,0.0,0.0,0.0
8,2033,scenario_1,353.0991872,507.2641948447237,0.0,154.1650076447237,0.0,543.8314982514617,0.0,0.0,0.0,0.0,0.0
8,2034,scenario_1,370.7541465,370.7541465,0.0,0.0,0.0,543.8314982514617,0.0,0.0,0.0,0.0,0.0
8,2035,scenario_1,389.2918538,389.2918538,0.0,0.0,0.0,543.8314982514617,0.0,0.0,0.0,0.0,0.0
9,2026,scenario_1,229.837,558.9037166074347,0.0,329.0667166074347,0.0,909.0223137475473,0.0,0.0,0.0,0.0,0.0
9,2027,scenario_1,241.32885,568.03210344205,0.0,326.70325344205,0.0,553.3745929927333,0.0,0.0,0.0,0.0,0.0
9,2028,scenario_1,253.3952925,557.3798944379782,0.0,303.9846019379782,0.0,540.8589106177333,0.0,0.0,0.0,0.0,0.0
9,2029,scenario_1,266.0650571,568.03210344205,0.0,301.96704634205,0.0,527.7174441477333,0.0,0.0,0.0,0.0,0.0
9,2030,scenario_1,279.36831,279.36831,0.0,0.0,0.0,426.1062090166291,0.0,0.0,0.0,0.0,0.0
