Periods,Solar PV
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,85.23782039813473
8,232.38277030446827
9,390.6137245085957
10,537.4108997628205
11,653.3360280371661
12,725.1222171235984
13,745.0455499272962
14,712.4093295900424
15,630.4853772270957
16,508.0005314848874
17,360.0924833656909
18,206.0305573759991
19,65.21261051215234
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,83.65328698015603
32,228.87590496898073
33,385.272644411713
34,531.4753044473543
35,647.8994121807652
36,718.4117224082728
37,736.7034201695463
38,702.4648288608573
39,620.331882422297
40,499.6677244389921
41,354.70830662738376
42,203.6249393298396
43,65.3632600226429
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,69.59213690950837
56,176.0861059165498
57,293.13418545406734
58,404.03354407040746
59,493.9137866836672
60,550.2748235585198
61,567.1537158396352
62,542.7774021843144
63,480.0437027032696
64,387.2350540393841
65,276.25440523759875
66,161.5681112212767
67,58.65812634096697
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,43.626388014289745
80,102.25017319804749
81,155.86135583014604
82,205.64717462788232
83,253.0422047367986
84,283.6723922536103
85,293.2280216732283
86,280.4335260557201
87,247.2263425830162
88,198.4977333739162
89,149.4315653190246
90,95.82305912805869
91,37.51899722661856
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,57.79187877615105
104,136.31966057951078
105,213.16933609668502
106,295.2377173843085
107,363.1153016091877
108,407.13377199336406
109,421.01988835822095
110,402.73225694708236
111,355.29366102368164
112,285.5601681282315
113,203.37187432191934
114,128.21380534782804
115,50.44647732344972
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,67.39793547536215
128,177.17446033326752
129,297.710907797417
130,413.0508162685568
131,507.46116177726685
132,567.4548382509123
133,585.3961657408454
134,560.061435947283
135,495.1422451629582
136,399.2042812172077
137,284.7401108988172
138,166.7194150598657
139,60.077303057824004
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,64.88017528713263
152,163.36009134137953
153,274.4007398451335
154,380.88192647895977
155,468.38677238451066
156,525.4792894873078
157,544.3566994694141
158,522.5423489544063
159,462.9311588579425
160,373.5300159906781
161,266.50892974667977
162,156.34035733424426
163,59.45778818024494
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,73.56443255407068
176,208.14336314301102
177,354.9260721287945
178,494.16121607997604
179,607.491342251046
180,679.7779677173999
181,703.0415162666495
