Periods,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032
1,309.0585116666673,309.12032336900063,309.1821474336744,309.24398386316113,309.30583265993374,309.3676938264657,309.429567365231,309.491453278704,309.55335156935973,309.6152622396736
2,256.85840166666657,256.9097733469999,256.9611553016693,257.0125475327296,257.0639500422362,257.1153628322446,257.16678590481104,257.218219261992,257.26966290584437,257.32111683842555
3,263.70838166666664,263.76112334299995,263.81387556766856,263.8666383427821,263.91941167045064,263.97219555278474,264.02498999189527,264.0777949898936,264.1306105488916,264.18343667100135
4,277.4333816666666,277.4888683429999,277.5443661166685,277.5998749898919,277.65539496488987,277.71092604388286,277.76646822909163,277.82202152273743,277.877585927042,277.9331614442274
5,282.7959566666667,282.85251585800006,282.90908636117166,282.9656681784439,283.02226131207954,283.07886576434197,283.13548153749485,283.1921086338023,283.24874705552907,283.3053968049402
6,336.328835991975,336.39610175917335,336.4633809795252,336.5306736557211,336.59797979045226,336.66529938641037,336.73263244628765,336.7999789727769,336.86733896857146,336.93471243636515
7,494.6303684539696,494.7292945276604,494.8282403865659,494.9272060346432,495.0261914758501,495.12519671414526,495.22422175348805,495.32326659783877,495.4223312511583,495.52141571740856
8,660.5861973782505,660.7183146177262,660.8504582806497,660.9826283723058,661.1148248979803,661.2470478629599,661.3792972725324,661.5115731319869,661.6438754466133,661.7762042217025
9,701.6649094333831,701.8052424152697,701.9456034637527,702.0859925844454,702.2264097829623,702.3668550649188,702.5073284359318,702.6478299016189,702.7883594675992,702.9289171394927
10,694.022786538861,694.1615910961688,694.300423414388,694.4392834990708,694.5781713557707,694.7170869900418,694.8560304074398,694.9950016135213,695.1340006138439,695.2730274139667
11,638.0498648747496,638.1774748477245,638.3051103426941,638.4327713647626,638.5604579190356,638.6881700106194,638.8159076446215,638.9436708261504,639.0714595603156,639.1992738522276
12,591.091135517006,591.2093537441094,591.3275956148582,591.4458611339811,591.5641503062079,591.6824631362691,591.8007996288964,591.9191597888221,592.0375436207798,592.1559511295039
13,1237.3709216866596,1237.618395870997,1237.8659195501712,1238.113492734081,1238.361115432628,1238.6087876557144,1238.8565094132455,1239.1042807151282,1239.3521015712713,1239.5999719915856
14,1346.6594778940926,1346.9288097896713,1347.1981955516292,1347.4676351907394,1347.7371287177775,1348.006676143521,1348.2762774787495,1348.5459327342453,1348.8156419207921,1349.0854050491762
