Periods,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032
1,235.4385416666663,235.48562937499963,235.53272650087462,235.5798330461748,235.62694901278402,235.67407440258657,235.72120921746708,235.76835345931056,235.81550713000243,235.86267023142844
2,69.9256166666668,69.93960179000013,69.95358971035813,69.9675804283002,69.98157394438586,69.99557025917473,70.00956937322655,70.02357128710119,70.03757600135862,70.05158351655889
3,74.18400000000015,74.19883680000015,74.21367656736015,74.22851930267362,74.24336500653415,74.25821367953546,74.27306532227136,74.28791993533582,74.30277751932289,74.31763807482675
4,83.10880000000014,83.12542176000014,83.14204684435214,83.158675253721,83.17530698877174,83.19194205016949,83.20858043857952,83.22522215466724,83.24186719909817,83.25851557253799
5,75.23409166666676,75.24913848500009,75.26418831269709,75.27924115035962,75.2942969985897,75.30935585798942,75.32441772916101,75.33948261270685,75.35455050922938,75.36962141933122
6,75.69440000000004,75.70953888000004,75.72468078777604,75.73982572393359,75.75497368907838,75.77012468381619,75.78527870875295,75.80043576449471,75.8155958516476,75.83075897081793
7,106.0041666666668,106.02536750000013,106.04657257350013,106.06778188801482,106.08899544439242,106.1102132434813,106.13143528612999,106.1526615731872,106.17389210550184,106.19512688392294
8,144.04831666666675,144.07712633000008,144.1059417552661,144.13476294361715,144.16358989620588,144.19242261418512,144.22126109870794,144.25010535092767,144.27895537199785,144.30781116307224
9,149.35571666666675,149.3855878100001,149.41546492756208,149.44534802054758,149.4752370901517,149.50513213756972,149.53503316399724,149.56494017063002,149.59485315866414,149.62477212929588
10,86.55151666666676,86.56882697000009,86.58614073539408,86.60345796354116,86.62077865513386,86.6381028108649,86.65543043142706,86.67276151751335,86.69009606981685,86.70743408903081
11,70.9760833333334,70.99027855000007,71.00447660571007,71.0186775010312,71.03288123653141,71.04708781277871,71.06129723034127,71.07550948978734,71.0897245916853,71.10394253660363
12,79.7826416666668,79.79859819500014,79.81455791463914,79.83052082622207,79.84648693038731,79.8624562277734,79.87842871901894,79.89440440476274,79.91038328564369,79.92636536230081
