year,discount_factor,annuity_res,annuity_battery,annuity_generator,opex_expected,externalities_expected,embedded_expected,total_before_discount,discounted_total,post_horizon_annuity_tail_discounted,discounted_objective_contribution
2026,0.9523809523809523,49377.30866047816,89312.20522314018,3496.3188550529626,29508.475506106322,0.0,0.0,171694.30824477764,163518.38880455014,0.0,163518.38880455014
2027,0.9070294784580498,49377.30866047816,89312.20522314018,3496.3188550529626,29513.86520741781,0.0,0.0,171699.69794608912,155736.68747944589,0.0,155736.68747944589
2028,0.863837598531476,49377.30866047816,89312.20522314018,3496.3188550529626,29513.86520741781,0.0,0.0,171699.69794608912,148320.65474232944,0.0,148320.65474232944
2029,0.8227024747918819,49377.30866047816,89312.20522314018,3496.3188550529626,29513.86520741781,0.0,0.0,171699.69794608912,141257.7664212661,0.0,141257.7664212661
2030,0.7835261664684589,49377.30866047816,89312.20522314018,3496.3188550529626,29513.86520741781,0.0,0.0,171699.69794608912,134531.2061154915,0.0,134531.2061154915
2031,0.7462153966366274,49377.30866047816,89312.20522314018,3496.3188550529626,29513.865207417814,0.0,0.0,171699.69794608912,128124.95820523001,0.0,128124.95820523001
2032,0.7106813301301214,49377.30866047816,89312.20522314018,3496.3188550529626,29513.865207417814,0.0,0.0,171699.69794608912,122023.76971926668,0.0,122023.76971926668
2033,0.676839362028687,49377.30866047816,89312.20522314018,3496.3188550529626,29513.86520741782,0.0,0.0,171699.69794608912,116213.11401834921,0.0,116213.11401834921
2034,0.6446089162177971,49377.30866047816,89312.20522314018,3496.3188550529626,29513.86520741782,0.0,0.0,171699.69794608912,110679.15620795163,0.0,110679.15620795163
2035,0.6139132535407591,49377.30866047816,89312.20522314018,3496.3188550529626,29513.86520741782,0.0,0.0,171699.69794608912,105408.72019804917,314642.56208850694,105408.72019804917
