scenario,total_demand_kwh,served_energy_kwh,lost_load_kwh,lost_load_fraction,total_res_kwh,generator_generation_kwh,renewable_potential_kwh,renewable_curtailment_kwh,renewable_curtailment_share,grid_import_raw_kwh,grid_import_delivered_kwh,grid_export_raw_kwh,grid_export_delivered_kwh,grid_renewable_kwh,renewable_penetration,fuel_consumption,scope1_emissions_kgco2e,scope2_emissions_kgco2e,scope3_emissions_kgco2e,emissions_kgco2e,investment_annuity_cost,fixed_om_cost,fuel_cost,grid_import_cost,grid_export_revenue,grid_net_cost,res_subsidy_revenue,annual_variable_cost,lost_load_cost,emissions_cost,total_operating_cost,reported_total_annual_cost,solver_objective_value,objective_value,weight
scenario_1,1059055.8900000001,1059055.8900000001,0.0,0.0,1032608.6506653983,74051.81762093306,1438863.2084426405,406254.55777724215,0.2823441140155036,0.0,0.0,0.0,0.0,0.0,0.9330853321835897,24683.939206977684,0.0,0.0,0.0,0.0,142185.83273867128,28448.02493225304,29620.72704837322,0.0,0.0,0.0,0.0,29620.72704837322,0.0,0.0,58068.75198062626,200254.58471929753,200358.0164848685,200358.0164848685,
expected,1059055.8900000001,1059055.8900000001,0.0,0.0,1032608.6506653983,74051.81762093306,1438863.2084426405,406254.55777724215,0.2823441140155036,0.0,0.0,0.0,0.0,0.0,0.9330853321835897,24683.939206977684,0.0,0.0,0.0,0.0,142185.83273867128,28448.02493225304,29620.72704837322,0.0,0.0,0.0,0.0,29620.72704837322,0.0,0.0,58068.75198062626,200254.58471929753,200358.0164848685,200358.0164848685,1.0
