year,discount_factor,annuity_res,annuity_battery,annuity_generator,opex_expected,externalities_expected,embedded_expected,total_before_discount,discounted_total,post_horizon_annuity_tail_discounted,discounted_objective_contribution
2026,0.9523809523809523,60558.90077908066,105816.12709249344,6586.994811719848,11382.261580308032,0.0,0.0,184344.28426360196,175565.98501295425,0.0,175565.98501295425
2027,0.9070294784580498,60558.90077908066,105816.12709249344,6586.994811719848,15051.45423308935,0.0,0.0,188013.47691638328,170533.7659105517,0.0,170533.7659105517
2028,0.863837598531476,60558.90077908066,105816.12709249344,6586.994811719848,20011.295633117577,0.0,0.0,192973.31831641152,166697.60787509903,0.0,166697.60787509903
2029,0.8227024747918819,60558.90077908066,105816.12709249344,6586.994811719848,27676.220539487367,0.0,0.0,200638.2432227813,165065.5792372777,0.0,165065.5792372777
2030,0.7835261664684589,60558.90077908066,105816.12709249344,6586.994811719848,38346.16346115144,0.0,0.0,211308.18614444538,165565.4930331608,0.0,165565.4930331608
2031,0.7462153966366274,60558.90077908066,105816.12709249344,6586.994811719848,51863.82153161918,0.0,0.0,224825.84421491312,167768.506514996,0.0,167768.506514996
2032,0.7106813301301214,60558.90077908066,105816.12709249344,6586.994811719848,67713.02130327115,0.0,0.0,240675.04398656508,171043.26038949753,0.0,171043.26038949753
2033,0.676839362028687,60558.90077908066,105816.12709249344,6586.994811719848,85854.79128498738,0.0,0.0,258816.81396828132,175177.4072485889,0.0,175177.4072485889
2034,0.6446089162177971,60558.90077908066,105816.12709249344,6586.994811719848,105875.15875238462,0.0,0.0,278837.18143567856,179740.93332647803,0.0,179740.93332647803
2035,0.6139132535407591,60558.90077908066,105816.12709249344,6586.994811719848,127591.46444961987,0.0,0.0,300553.4871329138,184513.76914878777,385894.01114210294,184513.76914878777
