period,year,scenario,load_demand,res_generation_total,generator_generation,battery_charge,battery_discharge,battery_soc,lost_load,grid_import,grid_export,grid_import_delivered,grid_export_delivered
0,2026,scenario_1,17.312,0.0,0.0,0.0,17.312,1167.262978058809,0.0,0.0,0.0,0.0,0.0
0,2027,scenario_1,18.1776,0.0,0.0,0.0,18.1776,835.7249931105671,0.0,0.0,0.0,0.0,0.0
0,2028,scenario_1,19.08648,0.0,0.0,0.0,19.08648,883.9578115416067,0.0,0.0,0.0,0.0,0.0
0,2029,scenario_1,20.040804,0.0,0.0,0.0,20.040804,817.264795546902,0.0,0.0,0.0,0.0,0.0
0,2030,scenario_1,21.0428442,0.0,0.0,0.0,21.0428442,857.5553365004968,0.0,0.0,0.0,0.0,0.0
0,2031,scenario_1,22.09498641,0.0,22.09498641,0.0,0.0,781.9881086775802,0.0,0.0,0.0,0.0,0.0
0,2032,scenario_1,23.19973573,0.0,0.0,0.0,23.19973573,702.6425196567465,0.0,0.0,0.0,0.0,0.0
0,2033,scenario_1,24.35972252,0.0,24.35972252,0.0,0.0,619.3296510525797,0.0,0.0,0.0,0.0,0.0
0,2034,scenario_1,25.57770864,0.0,25.57770864,0.0,0.0,531.8511392192464,0.0,0.0,0.0,0.0,0.0
0,2035,scenario_1,26.85659408,0.0,26.85659408,0.0,0.0,496.11359464390887,0.0,0.0,0.0,0.0,0.0
1,2026,scenario_1,25.614,0.0,0.0,0.0,25.614,1149.2296447254757,0.0,0.0,0.0,0.0,0.0
1,2027,scenario_1,26.8947,0.0,0.0,0.0,26.8947,816.7899931105671,0.0,0.0,0.0,0.0,0.0
1,2028,scenario_1,28.239435,0.0,0.0,0.0,28.239435,864.0760615416067,0.0,0.0,0.0,0.0,0.0
1,2029,scenario_1,29.65140675,0.0,0.0,0.0,29.65140675,796.388958046902,0.0,0.0,0.0,0.0,0.0
1,2030,scenario_1,31.13397709,0.0,0.0,0.0,31.13397709,835.6357071254968,0.0,0.0,0.0,0.0,0.0
1,2031,scenario_1,32.69067594,0.0,0.0,0.0,32.69067594,781.9881086775802,0.0,0.0,0.0,0.0,0.0
1,2032,scenario_1,34.32520974,0.0,34.32520974,0.0,0.0,678.4761282713298,0.0,0.0,0.0,0.0,0.0
1,2033,scenario_1,36.04147023,0.0,0.0,0.0,36.04147023,619.3296510525797,0.0,0.0,0.0,0.0,0.0
1,2034,scenario_1,37.84354374,0.0,0.0,0.0,37.84354374,531.8511392192464,0.0,0.0,0.0,0.0,0.0
1,2035,scenario_1,39.73572092,0.0,39.73572092,0.0,0.0,496.11359464390887,0.0,0.0,0.0,0.0,0.0
2,2026,scenario_1,29.901,0.0,0.0,0.0,29.901,1122.5483947254756,0.0,0.0,0.0,0.0,0.0
2,2027,scenario_1,31.39605,0.0,0.0,0.0,31.39605,788.7746806105671,0.0,0.0,0.0,0.0,0.0
2,2028,scenario_1,32.9658525,0.0,0.0,0.0,32.9658525,834.6599834166067,0.0,0.0,0.0,0.0,0.0
2,2029,scenario_1,34.61414513,0.0,0.0,0.0,34.61414513,765.5020760156519,0.0,0.0,0.0,0.0,0.0
2,2030,scenario_1,36.34485238,0.0,0.0,0.0,36.34485238,803.2044809900801,0.0,0.0,0.0,0.0,0.0
2,2031,scenario_1,38.162095,0.0,38.162095,0.0,0.0,747.9353212400802,0.0,0.0,0.0,0.0,0.0
2,2032,scenario_1,40.07019975,0.0,0.0,0.0,40.07019975,678.4761282713298,0.0,0.0,0.0,0.0,0.0
2,2033,scenario_1,42.07370974,0.0,42.07370974,0.0,0.0,581.7864528963297,0.0,0.0,0.0,0.0,0.0
