year,scenario,weight,fuel_cost,grid_import_cost,grid_export_revenue,res_subsidy_revenue,annual_variable_cost,fixed_om_res,fixed_om_battery,fixed_om_generator,fixed_om_total,lost_load_penalty,scope1_emissions,scope2_emissions,scope3_res_emissions,scope3_battery_emissions,scope3_generator_emissions,scope3_emissions,total_emissions,scope1_emissions_cost,scope2_emissions_cost,scope3_res_emissions_cost,scope3_battery_emissions_cost,scope3_generator_emissions_cost,emissions_cost,total_operating_cost
2026,scenario_1,1.0,11382.261580308032,0.0,0.0,0.0,11382.261580308032,17070.275811219355,16341.681692823327,1387.9288550944311,34799.88635913712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46182.147939445145
2027,scenario_1,1.0,15051.45423308935,0.0,0.0,0.0,15051.45423308935,17070.275811219355,16341.681692823327,1387.9288550944311,34799.88635913712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49851.340592226465
2028,scenario_1,1.0,20011.295633117577,0.0,0.0,0.0,20011.295633117577,17070.275811219355,16341.681692823327,1387.9288550944311,34799.88635913712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54811.1819922547
2029,scenario_1,1.0,27676.220539487367,0.0,0.0,0.0,27676.220539487367,17070.275811219355,16341.681692823327,1387.9288550944311,34799.88635913712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62476.10689862448
2030,scenario_1,1.0,38346.16346115144,0.0,0.0,0.0,38346.16346115144,17070.275811219355,16341.681692823327,1387.9288550944311,34799.88635913712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73146.04982028855
2031,scenario_1,1.0,51863.82153161918,0.0,0.0,0.0,51863.82153161918,17070.275811219355,16341.681692823327,1387.9288550944311,34799.88635913712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86663.7078907563
2032,scenario_1,1.0,67713.02130327115,0.0,0.0,0.0,67713.02130327115,17070.275811219355,16341.681692823327,1387.9288550944311,34799.88635913712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102512.90766240827
2033,scenario_1,1.0,85854.79128498738,0.0,0.0,0.0,85854.79128498738,17070.275811219355,16341.681692823327,1387.9288550944311,34799.88635913712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120654.6776441245
2034,scenario_1,1.0,105875.15875238462,0.0,0.0,0.0,105875.15875238462,17070.275811219355,16341.681692823327,1387.9288550944311,34799.88635913712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140675.04511152173
2035,scenario_1,1.0,127591.46444961987,0.0,0.0,0.0,127591.46444961987,17070.275811219355,16341.681692823327,1387.9288550944311,34799.88635913712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162391.35080875698
2026,Expected,1.0,11382.261580308032,0.0,0.0,0.0,11382.261580308032,17070.275811219355,16341.681692823327,1387.9288550944311,34799.88635913712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46182.147939445145
2027,Expected,1.0,15051.45423308935,0.0,0.0,0.0,15051.45423308935,17070.275811219355,16341.681692823327,1387.9288550944311,34799.88635913712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49851.340592226465
2028,Expected,1.0,20011.295633117577,0.0,0.0,0.0,20011.295633117577,17070.275811219355,16341.681692823327,1387.9288550944311,34799.88635913712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54811.1819922547
2029,Expected,1.0,27676.220539487367,0.0,0.0,0.0,27676.220539487367,17070.275811219355,16341.681692823327,1387.9288550944311,34799.88635913712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62476.10689862448
2030,Expected,1.0,38346.16346115144,0.0,0.0,0.0,38346.16346115144,17070.275811219355,16341.681692823327,1387.9288550944311,34799.88635913712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73146.04982028855
2031,Expected,1.0,51863.82153161918,0.0,0.0,0.0,51863.82153161918,17070.275811219355,16341.681692823327,1387.9288550944311,34799.88635913712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86663.7078907563
2032,Expected,1.0,67713.02130327115,0.0,0.0,0.0,67713.02130327115,17070.275811219355,16341.681692823327,1387.9288550944311,34799.88635913712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102512.90766240827
2033,Expected,1.0,85854.79128498738,0.0,0.0,0.0,85854.79128498738,17070.275811219355,16341.681692823327,1387.9288550944311,34799.88635913712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120654.6776441245
2034,Expected,1.0,105875.15875238462,0.0,0.0,0.0,105875.15875238462,17070.275811219355,16341.681692823327,1387.9288550944311,34799.88635913712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140675.04511152173
2035,Expected,1.0,127591.46444961987,0.0,0.0,0.0,127591.46444961987,17070.275811219355,16341.681692823327,1387.9288550944311,34799.88635913712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162391.35080875698
