Periods,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032
1,1991.628240000006,1992.0265656480058,1992.4249709611354,1992.8234559553275,1993.2220206465186,1993.6206650506479,1994.019389183658,1994.4181930614945,1994.8170767001068,1995.2160401154467
2,1869.169788000004,1869.543621957604,1869.9175306819955,1870.2915141881317,1870.6655724909692,1871.0397056054674,1871.4139135465884,1871.7881963292978,1872.1625539685635,1872.5369864793572
3,1894.0796160000036,1894.4584319232035,1894.837323609588,1895.21629107431,1895.5953343325248,1895.9744533993912,1896.353648290071,1896.732919019729,1897.112265603533,1897.4916880566536
4,2102.6445240000035,2103.0650529048035,2103.4856659153843,2103.9063630485675,2104.327144321177,2104.748009750041,2105.168959351991,2105.589993143861,2106.01111114249,2106.4323133647185
5,2117.099280000002,2117.522699856002,2117.946204395973,2118.369793636852,2118.7934675955794,2119.2172262890986,2119.6410697343563,2120.0649979483032,2120.489010947893,2120.9131087500823
6,2192.190654000004,2192.629092130804,2193.06761794923,2193.50623147282,2193.9449327191146,2194.3837217056584,2194.8225984499995,2195.2615629696893,2195.7006152822833,2196.1397554053397
7,2384.2492740000052,2384.7261238548053,2385.2030690795764,2385.6801096933923,2386.157245715331,2386.634477164474,2387.1118040599067,2387.5892264207187,2388.066744266003,2388.544357614856
8,2765.9265120000077,2766.4796973024077,2767.032993241868,2767.5863998405166,2768.139917120485,2768.693545103909,2769.2472838129297,2769.8011332696924,2770.3550934963464,2770.9091645150456
9,2923.3945860000076,2923.9792649172077,2924.564060770191,2925.148973582345,2925.7340033770615,2926.319150177737,2926.904414007772,2927.4897948905736,2928.0752928495517,2928.6609079081218
10,3046.3973100000053,3047.006589462005,3047.6159907798974,3048.225513978053,3048.835159080849,3049.444926112665,3050.0548150978875,3050.664826060907,3051.274959026119,3051.885214017924
11,3266.8626420000032,3267.516014528403,3268.1695177313086,3268.8231516348546,3269.4769162651814,3270.1308116484342,3270.7848378107637,3271.4389947783257,3272.093282577281,3272.7477012337963
