,PV Corrected,Radiation,Efficiency
2016-04-28 00:00:00,0.0,0.0,0.13596088016457566
2016-04-28 01:00:00,0.0,0.0,0.13594109493869735
2016-04-28 02:00:00,0.0,0.0,0.135989134975882
2016-04-28 03:00:00,0.0,0.0,0.1360337117412924
2016-04-28 04:00:00,0.0,0.0,0.13601351503757952
2016-04-28 05:00:00,0.0,0.0,0.13596653798480085
2016-04-28 06:00:00,0.0,0.0,0.13597922521803305
2016-04-28 07:00:00,368.4525846553948,6.9375,0.13580807371306655
2016-04-28 08:00:00,4190.006578384192,80.0625,0.13390544535041438
2016-04-28 09:00:00,13771.893778158897,274.13916666666665,0.1288398002233125
2016-04-28 10:00:00,25379.365105679524,531.6366666666667,0.12210861606450195
2016-04-28 11:00:00,27031.498781188133,568.9883333333333,0.12132664615759259
2016-04-28 12:00:00,30182.231808012264,645.3966666666666,0.11941131581306731
2016-04-28 13:00:00,30064.720933265347,642.14,0.11947003367306193
2016-04-28 14:00:00,26776.36087186164,562.2141666666666,0.12156946975337041
2016-04-28 15:00:00,34551.81233271432,758.4700000000001,0.11637573091706228
2016-04-28 16:00:00,30362.6196628855,651.18,0.11925316851078806
2016-04-28 17:00:00,15699.843348137421,315.5891666666667,0.12808021515170287
2016-04-28 18:00:00,1994.5963758999253,37.888333333333335,0.13523801743858496
2016-04-28 19:00:00,0.0,0.0,0.13600158218037736
2016-04-28 20:00:00,0.0,0.0,0.1359430494584115
2016-04-28 21:00:00,0.0,0.0,0.1359296764287884
2016-04-28 22:00:00,0.0,0.0,0.1358486838750196
2016-04-28 23:00:00,0.0,0.0,0.1358106907549621
2016-04-29 00:00:00,0.0,0.0,0.13577838974494932
2016-04-29 01:00:00,0.0,0.0,0.13576501671532623
2016-04-29 02:00:00,0.0,0.0,0.13573820207644086
2016-04-29 03:00:00,0.0,0.0,0.13575531269639454
2016-04-29 04:00:00,0.0,0.0,0.1357256177126673
2016-04-29 05:00:00,0.0,0.0,0.13572942388263698
2016-04-29 06:00:00,0.0,0.0,0.13573360724062158
2016-04-29 07:00:00,857.5683896842996,16.254166666666666,0.1352851994928971
2016-04-29 08:00:00,10173.24496897231,199.66666666666666,0.1307056259362026
2016-04-29 09:00:00,23845.881713080165,496.1266666666667,0.12305769922973607
2016-04-29 10:00:00,35176.86857273275,776.6341666666666,0.11574324380970208
2016-04-29 11:00:00,42653.35681377109,987.5733333333333,0.1102678778233978
2016-04-29 12:00:00,46719.55881523465,1113.5575000000001,0.10705699500797948
2016-04-29 13:00:00,46902.71906527486,1119.8708333333334,0.10687145050928544
2016-04-29 14:00:00,44690.213545054496,1047.6924999999999,0.10886636659136488
2016-04-29 15:00:00,39302.07308712492,886.8341666666666,0.11318233562750751
2016-04-29 16:00:00,30011.930151553996,641.425,0.11966308162387457
2016-04-29 17:00:00,16336.372880648247,327.86000000000007,0.1278573483957968
2016-04-29 18:00:00,2236.951224062162,42.58083333333333,0.13523771630617373
2016-04-29 19:00:00,0.0,0.0,0.13615588636833648
2016-04-29 20:00:00,0.0,0.0,0.13612355106850416
2016-04-29 21:00:00,0.0,0.0,0.13614302768600658
2016-04-29 22:00:00,0.0,0.0,0.13610335436479126
2016-04-29 23:00:00,0.0,0.0,0.13608494073169483
2016-04-30 00:00:00,0.0,0.0,0.13610325149533262
2016-04-30 01:00:00,0.0,0.0,0.1361169331333317
2016-04-30 02:00:00,0.0,0.0,0.13613363227545083
2016-04-30 03:00:00,0.0,0.0,0.13610294288695673
2016-04-30 04:00:00,0.0,0.0,0.13611768750936168
2016-04-30 05:00:00,0.0,0.0,0.13611607588784302
2016-04-30 06:00:00,0.0,0.0,0.13611185824003882
2016-04-30 07:00:00,688.2104025733748,12.984166666666667,0.13576374528836394
2016-04-30 08:00:00,9269.411712268733,181.83916666666667,0.13131330383896572
2016-04-30 09:00:00,23555.136632296326,489.46583333333336,0.12320480686293772
2016-04-30 10:00:00,34714.417744420025,764.9283333333333,0.11596327849091548
2016-04-30 11:00:00,42069.048344183735,970.9716666666668,0.11061389819217572
2016-04-30 12:00:00,46248.56260527476,1101.4716666666668,0.10715851345634171
2016-04-30 13:00:00,47442.62706855618,1140.1091666666669,0.10618283748098611
2016-04-30 14:00:00,41147.5881971344,955.8291666666665,0.11118658164712313
2016-04-30 15:00:00,29574.853868755756,643.4808333333334,0.11943781975345931
2016-04-30 16:00:00,20037.862989449874,420.1225,0.12533798470827406
2016-04-30 17:00:00,5485.6291039842135,105.06916666666667,0.13361834592561114
2016-04-30 18:00:00,499.882286262694,9.3925,0.13610556678179878
2016-04-30 19:00:00,0.0,0.0,0.1362989434954844
2016-04-30 20:00:00,0.0,0.0,0.1362745291439673
2016-04-30 21:00:00,0.0,0.0,0.13625810432040455
2016-04-30 22:00:00,0.0,0.0,0.1362437711758341
2016-04-30 23:00:00,0.0,0.0,0.13623149542043647
2016-05-01 00:00:00,0.0,0.0,0.13621801952135468
2016-05-01 01:00:00,0.0,0.0,0.13619723989070956
2016-05-01 02:00:00,0.0,0.0,0.1361763916804253
2016-05-01 03:00:00,0.0,0.0,0.1361498513600963
2016-05-01 04:00:00,0.0,0.0,0.13613222639284944
2016-05-01 05:00:00,0.0,0.0,0.13611809898719632
2016-05-01 06:00:00,0.0,0.0,0.13610695479584367
2016-05-01 07:00:00,382.7814744669059,7.201666666666667,0.1359023248576917
2016-05-01 08:00:00,3128.9669070952586,59.395,0.13457137450132337
2016-05-01 09:00:00,7481.976802491004,144.34333333333333,0.13241707335802252
2016-05-01 10:00:00,12366.046059362006,243.0041666666667,0.12993223599894352
2016-05-01 11:00:00,15666.764272915285,311.85083333333336,0.1282034963086627
2016-05-01 12:00:00,20914.45999420434,426.6933333333334,0.12521803390244676
2016-05-01 13:00:00,27886.97850894472,588.8741666666667,0.12106377560658343
2016-05-01 14:00:00,38502.08010062218,867.0416666666666,0.11380022211620648
2016-05-01 15:00:00,38273.02181592856,855.6241666666666,0.11420139631285686
2016-05-01 16:00:00,29493.434643337514,627.735,0.1201734081134165
