;1,0;2,0
187,0;38,790580459060024;867,709194827053
188,0;0,0;3938,233979536186
189,0;0,0;6158,786076132383
190,0;0,0;5047,143802751997
191,0;0,0;3195,862769688925
192,0;0,0;1955,0169837502945
193,0;0,0;611,2725306888512
194,0;0,0;631,5803419989574
195,0;0,0;482,1896309182492
196,0;0,0;2215,332692294438
197,0;0,0;4204,840947310287
198,0;0,0;8096,424858220008
199,0;24,752485682139447;9533,690911116271
200,0;141,4679729348856;8138,753339806481
201,0;273,4676731415675;6989,338565388084
202,0;402,654288147954;5890,144260527284
203,0;511,08097072669625;5858,896280350706
204,0;584,5424709666963;5166,414462689818
205,0;613,1904821286789;3854,326058599112
206,0;592,9804124152255;2578,2923368261786
207,0;526,6330253298639;737,9891672542025
208,0;422,84956349793885;262,70989383163277
209,0;295,8123127667293;30,785351572913513
210,0;162,19331074398482;0,0
211,0;41,67864744999668;18,179573771432533
212,0;0,0;103,1755594690369
213,0;0,0;163,1459787296834
214,0;0,0;237,99283287404594
215,0;0,0;316,0562506068734
216,0;0,0;389,33568364101114
217,0;0,0;458,8429424611984
218,0;0,0;922,423040904397
219,0;0,0;1643,0220150676132
220,0;0,0;1787,7132340987412
221,0;0,0;1236,9888151719413
222,0;0,0;417,58426383070724
223,0;23,483812037828113;885,141891205391
224,0;148,8456983714002;2226,6469344531915
225,0;291,8017117628258;3360,661488226125
226,0;432,3834499296276;4355,267457215296
227,0;550,1374501233089;4641,99523860463
228,0;629,0927013934647;4074,5358276620414
229,0;659,8020194075192;3583,265796814731
230,0;638,5746684519341;3039,719321510647
231,0;567,9129588450882;2005,990532331829
232,0;456,44015340221506;494,99796711439
233,0;319,48516473165756;282,0094677145695
234,0;174,562459596044;197,82569027775776
235,0;41,94181112706836;189,95593890879857
236,0;0,0;223,42602401025192
237,0;0,0;314,8576141693298
238,0;0,0;469,63896207529984
239,0;0,0;1825,0496775498314
240,0;0,0;2342,8923317607546
241,0;0,0;735,7314516549889
242,0;0,0;156,18846421687337
243,0;0,0;0,0
244,0;0,0;0,0
245,0;0,0;0,0
246,0;0,0;104,14913321283592
247,0;21,133551822063435;395,11061564660935
248,0;115,21770817586821;475,03797636812806
249,0;213,62767362351855;363,3509443669911
250,0;315,62866100841177;176,64120921124925
251,0;402,67474473735786;57,48339765026977
252,0;462,1456502766197;3,1002502218910877
253,0;485,8033312926534;0,0
254,0;470,3208578574131;0,0
255,0;417,74059576629173;0,0
256,0;335,647363499221;0,0
257,0;235,46117282002155;0,0
258,0;133,4193298023182;0,0
259,0;39,72873624541144;85,3198457037394
260,0;0,0;275,21001813890877
261,0;0,0;395,75226624526925
262,0;0,0;435,6704319112021
263,0;0,0;416,8515920871314
264,0;0,0;405,2560219830914
265,0;0,0;752,2869131468051
266,0;0,0;3033,226823405182
267,0;0,0;6511,681412961843
268,0;0,0;8590,623586159523
269,0;0,0;6847,303931842259
270,0;0,0;5123,014796128137
271,0;21,817371813348732;8773,199803390668
272,0;140,24620066602213;10700,353763544552
273,0;275,4702887494401;11652,788262924418
274,0;408,92234247846284;10356,739419837031
275,0;521,878912337051;8044,932750092039
276,0;598,4953567739419;5653,675747598742
277,0;629,6467875995944;4089,784094350474
278,0;610,9226015912277;3551,474539299868
279,0;544,1651022519497;3312,949484859876
280,0;437,90405314814655;3276,9721198871007
281,0;306,8378699220014;2998,461190672135
282,0;168,7903694003546;3006,121064639699
283,0;43,277060177949885;3274,8427262522664
284,0;0,0;3274,669462514928
285,0;0,0;493,6327676394379
286,0;0,0;16,894428877999523
287,0;0,0;0,0
288,0;0,0;0,0
289,0;0,0;268,52704396642355
290,0;0,0;743,0719245890106
291,0;0,0;2700,6668906291084
292,0;0,0;4762,828765557662
293,0;0,0;5697,743534648413
294,0;0,0;6176,625999128742
295,0;21,014450811434806;11082,341172838984
296,0;141,10146604398702;17909,75069673061
297,0;278,2425603704497;22949,142318445483
298,0;414,25394767639546;22876,26429968441
299,0;529,7351250812255;18661,78174341768
300,0;608,6041253878526;13940,350343007349
301,0;640,1770160607975;8678,35859353338
302,0;620,6677360331591;3994,55761873778
303,0;552,6313582047072;1193,6563485762374
304,0;444,6071213935554;153,84564053816584
305,0;311,17170278633;0,0
306,0;171,2072694318394;0,0
307,0;43,68175024856641;184,08797059804115
308,0;0,0;1111,8571871654544
309,0;0,0;3814,6548095368375
310,0;0,0;8158,126554520397
311,0;0,0;10845,261674944997
312,0;0,0;14591,178675530464
313,0;0,0;19327,891263081947
314,0;0,0;19898,52626414925
315,0;0,0;13762,610628090097
316,0;0,0;8273,566206405028
317,0;0,0;4065,626843167591
318,0;0,0;4243,941430992134
319,0;18,922683106570908;7275,898506505405
320,0;114,68018587211633;11262,402359631677
321,0;215,0869688138846;16252,584716523997
322,0;319,10568374982216;17566,733453422577
323,0;407,9078049691133;16025,547529584024
324,0;468,9417863365315;13836,800237029453
325,0;493,6139488999032;11109,930417321108
326,0;478,6907686588484;8319,180088722254
327,0;426,0140294209504;4798,542370786986
328,0;342,9803787923891;2991,309802704398
329,0;241,38608286621965;1778,602180279535
330,0;136,43399269689078;1447,873273995287
331,0;41,403866187526326;1290,1248348402332
332,0;0,0;1198,5125949978453
333,0;0,0;1705,782099171408
334,0;0,0;2582,295828077036
335,0;0,0;2581,833451661746
336,0;0,0;1946,121691303759
337,0;0,0;1074,5441068596494
338,0;0,0;563,0043466163552
339,0;0,0;991,3276781144998
340,0;0,0;2162,9277370717273
341,0;0,0;2451,563883184919
342,0;0,0;2212,985711373977
343,0;18,110831330285095;3537,8745117983012
344,0;114,19038632399142;5972,90300166075
345,0;215,06838284536158;9015,557923860473
346,0;320,0869120243696;11833,394497182315
347,0;410,52093044830286;14026,485862440868
348,0;472,98485193827554;14489,948678496314
349,0;498,3526661518323;11215,429190504248
350,0;483,3824297446275;6184,373413519386
351,0;430,29423317378223;1950,7726983393575
352,0;346,2508759735857;300,57030604027915
353,0;243,31989591800678;24,443702597950477
354,0;137,33809378244734;0,0
355,0;41,87750206556945;0,0
356,0;0,0;0,0
357,0;0,0;0,0
358,0;0,0;0,0
359,0;0,0;0,0
360,0;0,0;0,0
361,0;0,0;0,0
362,0;0,0;0,0
363,0;0,0;0,0
364,0;0,0;220,29618175288434
365,0;0,0;369,7578136988551
366,0;0,0;537,1791585365081
367,0;18,33039034486123;1604,707397939574
368,0;131,54782271021304;2019,6234673841573
369,0;260,7200191371726;2301,263621009575
370,0;389,0652745951994;2279,905927140119
371,0;498,18325777079195;1902,0053911022942
372,0;573,0879726248993;1535,3563429623507
373,0;603,7081494507522;1173,0305673998878
374,0;586,3199260853087;494,4455643728458
375,0;522,5563947125828;330,7017102327898
376,0;421,5551486523749;262,50605547415563
377,0;297,3073285608752;310,38360750686445
378,0;164,98423244668058;417,64691524878737
379,0;45,12368000719218;490,1905998179183
380,0;0,0;720,216502105812
381,0;0,0;813,8914713909382
382,0;0,0;1222,4262333563468
383,0;0,0;2026,4713213858352
384,0;0,0;3152,8222530806684
385,0;0,0;4778,895900170584
386,0;0,0;7962,056204281453
387,0;0,0;10096,894646977422
388,0;0,0;9476,342986287467
389,0;0,0;6753,045497905793
390,0;0,0;7603,3866211203185
391,0;16,967289439525484;9141,000624442688
392,0;116,60697613339025;9892,963957277545
393,0;230,10473469370626;9713,10418067635
394,0;343,6583368484178;10729,367342438603
395,0;441,24586343957117;13619,207746887105
396,0;508,90195941307564;16347,213453553537
397,0;537,0356582525319;17960,926074210307
398,0;522,1485291244165;18758,554094703137
399,0;465,8338356052021;14559,228534582755
400,0;375,6114805215422;6761,531692807022
401,0;264,22329468339893;3658,701584962966
402,0;147,39940504697023;3839,2366698891606
403,0;44,04106497957612;5205,229788292024
404,0;0,0;7900,811927721838
405,0;0,0;11231,508067243287
406,0;0,0;12246,362289203686
407,0;0,0;8232,82313930102
408,0;0,0;2397,785043983272
409,0;0,0;404,35262145963515
410,0;0,0;132,8862345219781
411,0;0,0;61,40726502616434
412,0;0,0;51,649129238439116
413,0;0,0;23,10168520198186
414,0;0,0;331,4949405726595
415,0;15,53204051621077;4030,9589693772114
416,0;153,94321646259897;8087,97522745213
417,0;314,65066282131505;10027,474244666673
418,0;473,18773816804475;13444,747213370887
419,0;607,1630971744363;17155,33065109255
420,0;699,0014967988029;20716,144122875005
421,0;737,3560075830471;22111,693656135136
422,0;717,4372852533825;21654,213588688955
423,0;641,538098826302;17396,819722312084
424,0;518,6566217358217;12709,521813544381
425,0;363,85960407806675;13021,857789312733
426,0;199,1683749601469;14029,357895770532
427,0;48,88422818095256;16398,08485038255
428,0;0,0;15834,862304579296
429,0;0,0;13532,000072199957
430,0;0,0;11303,797532498738
431,0;0,0;9558,946434056446
432,0;0,0;8705,78797843816
433,0;0,0;7509,880735868791
434,0;0,0;6632,291259965024
435,0;0,0;5783,992820357576
436,0;0,0;4241,259658352703
437,0;0,0;3114,6022354583224
438,0;0,0;8261,561030374798
439,0;14,910397865700451;16282,743366760016
440,0;111,87644231176415;20544,20101490622
441,0;214,88479992845205;21370,361052224576
442,0;321,438609137491;21124,448985894367
443,0;412,93578380389954;20426,530609026475
444,0;476,72913534338403;18515,35944793439
445,0;503,8671249194875;17126,302662846927
446,0;490,4143960717006;14689,934506631991
447,0;437,83894419671105;9582,848358949912
448,0;353,5333357939898;4768,582935816971
449,0;249,29584688012724;3047,5493182965074
450,0;139,95019638336538;2393,908993113028
451,0;43,53205481705252;1774,673711125408
452,0;0,0;1464,891702606976
453,0;0,0;1405,1885497257533
454,0;0,0;2019,5552732665503
455,0;0,0;2743,919087565734
456,0;0,0;2829,2288352637165
457,0;0,0;3302,6072154031413
458,0;0,0;4751,479605696972
459,0;0,0;6289,015678814934
460,0;0,0;6203,546497755592
461,0;0,0;5597,416780564611
462,0;0,0;8894,201361904941
463,0;13,69569524959231;15275,831511178441
464,0;108,04856505132955;17164,960413040044
465,0;202,9112737064798;15774,620665898014
466,0;304,08120702731094;14040,511658103162
467,0;391,4653555725149;11639,85145021895
468,0;452,86427342467624;11379,522075560584
469,0;478,90382640081685;11546,27573599173
470,0;465,66627219887465;10624,939340826117
471,0;415,50594455910624;9248,71774660456
472,0;335,37600037686656;6436,980600326694
473,0;236,66151730357691;5587,845522542039
474,0;136,3555699560696;6352,91148506073
475,0;42,53744631699072;6474,400909672692
476,0;0,0;4602,955762957361
477,0;0,0;1760,8835032934758
478,0;0,0;420,3638937211691
479,0;0,0;489,9922356141824
480,0;0,0;2044,9517980925061
481,0;0,0;4055,9773259914527
482,0;0,0;6236,875070386463
483,0;0,0;6432,717210122848
484,0;0,0;5002,010340451835
485,0;0,0;3582,1080093556116
486,0;0,0;3251,034588837709
487,0;14,001916449904678;4991,948295460275
488,0;137,89698870343898;3350,6807407893325
489,0;280,662792108792;2070,750800528381
490,0;422,9069831621132;484,90063709684495
491,0;544,9321621132801;298,04231909375113
492,0;629,885746367418;168,01664671984273
493,0;666,0301776741126;61,78772515586739
494,0;648,4006861618735;0,0
495,0;579,0994654740789;0,0
496,0;467,49989214358556;0,0
497,0;329,04915384488;0,0
498,0;182,14958813983117;0,0
499,0;48,712285702751856;0,0
500,0;0,0;0,0
501,0;0,0;0,0
502,0;0,0;0,0
503,0;0,0;0,0
504,0;0,0;0,0
505,0;0,0;0,0
506,0;0,0;99,11359338335801
507,0;0,0;238,68924500772337
508,0;0,0;257,02875587427764
509,0;0,0;241,88378539954525
510,0;0,0;270,9069700063065
511,0;13,024649690776503;311,37689642727537
512,0;139,0069623680304;454,72480257059345
513,0;285,0701952287934;1511,5494512331863
514,0;430,77971707374314;1594,733095551112
515,0;555,2104182822903;768,3184172931282
516,0;641,5448267290536;470,31703443441876
517,0;678,0555925841528;425,0655590031602
518,0;660,0609078530248;339,1759686686926
519,0;589,7399553347825;236,10966214947405
520,0;476,7692371061178;196,77444206204876
521,0;336,4797354665079;325,31864763476625
522,0;186,45868230916034;1559,413373617973
523,0;49,461631950839475;3370,5960568304395
524,0;0,0;5147,454350285851
525,0;0,0;7327,786084180058
526,0;0,0;7961,028790301958
527,0;0,0;6404,007247789485
528,0;0,0;4179,681075288403
529,0;0,0;4322,257289187519
530,0;0,0;7679,291823249348
531,0;0,0;8973,455750388222
532,0;0,0;9120,552483915542
533,0;0,0;8489,216610158996
534,0;0,0;8867,938421417397
535,0;12,175199203649376;17849,24836078741
536,0;141,60774658961392;30488,053404296323
537,0;292,2269957817786;37259,80778364907
538,0;441,49854224210173;36521,93425448313
539,0;568,1947279406716;32334,387523413552
540,0;655,386036921253;26895,357178779468
541,0;692,3291340425048;20857,02935041038
542,0;674,138393471954;15243,847452363154
543,0;602,8650277432142;9217,348170061536
544,0;487,751236606672;4061,8703717157273
545,0;343,8273521397742;3762,6997067451885
546,0;190,12395082518105;3768,673717040187
547,0;49,98047961055682;4348,990061424803
548,0;0,0;7992,88382950113
549,0;0,0;12048,557459327374
550,0;0,0;10934,203752203419
551,0;0,0;7998,453181297623
552,0;0,0;7681,774172611972
553,0;0,0;8867,439611800346
554,0;0,0;10343,793228803203
555,0;0,0;12023,798346542551
556,0;0,0;10620,947117091138
557,0;0,0;9003,78754815253
558,0;0,0;10142,324083753583
559,0;11,608826195334862;23071,382246317582
560,0;130,20819314733393;35155,414368128135
561,0;266,4545662160967;37955,59080373512
562,0;401,62634242999826;32005,281986150338
563,0;516,7614014499007;23387,492868733767
564,0;596,5969568248746;16019,83430543266
565,0;630,6982260590353;10457,012583249683
566,0;614,4591114583953;6802,255140868606
567,0;549,976096205119;3446,6753538125295
568,0;445,4509062568675;2286,9581233417225
569,0;315,20128754285184;1826,8095372338264
570,0;175,5967459811202;2251,158696989319
571,0;48,38414991572686;5507,839043735753
572,0;0,0;16200,46191293634
573,0;0,0;17304,391709312044
574,0;0,0;10384,488343415465
575,0;0,0;7445,763912484426
576,0;0,0;7277,5116119502345
577,0;0,0;8476,864328000054
