year,discount_factor,annuity_res,annuity_battery,annuity_generator,opex_expected,externalities_expected,embedded_expected,total_before_discount,discounted_total,post_horizon_annuity_tail_discounted,discounted_objective_contribution
2026,0.9523809523809523,62993.41032548212,101155.74511735937,4893.392312124442,-13487.72812088002,0.0,0.0,155554.8196340859,148147.44727055798,0.0,148147.44727055798
2027,0.9070294784580498,62993.41032548212,101155.74511735937,4893.392312124442,-9797.988944287392,0.0,0.0,159244.55881067854,144439.509125332,0.0,144439.509125332
2028,0.863837598531476,62993.41032548212,101155.74511735937,4893.392312124442,-7158.7476098263905,0.0,0.0,161883.80014513954,139841.31315852675,0.0,139841.31315852675
2029,0.8227024747918819,62993.41032548212,101155.74511735937,4893.392312124442,-3818.5173381714167,0.0,0.0,165224.0304167945,135930.218718986,0.0,135930.218718986
2030,0.7835261664684589,62993.41032548212,101155.74511735937,4893.392312124442,245.97714528675579,0.0,0.0,169288.52490025267,132641.98894219522,0.0,132641.98894219522
2031,0.7462153966366274,62993.41032548212,101155.74511735937,4893.392312124442,5030.379351719509,0.0,0.0,174072.92710668544,129895.898344614,0.0,129895.898344614
2032,0.7106813301301214,62993.41032548212,101155.74511735937,4893.392312124442,10497.92833548463,0.0,0.0,179540.47609045057,127596.06436015666,0.0,127596.06436015666
2033,0.676839362028687,62993.41032548212,101155.74511735937,4893.392312124442,16613.595999099558,0.0,0.0,185656.14375406547,125659.38589520787,0.0,125659.38589520787
2034,0.6446089162177971,62993.41032548212,101155.74511735937,4893.392312124442,23338.03607420906,0.0,0.0,192380.58382917498,124010.23964347156,0.0,124010.23964347156
2035,0.6139132535407591,62993.41032548212,101155.74511735937,4893.392312124442,30646.517939712736,0.0,0.0,199689.06569467866,122591.76401713456,401407.2163347099,122591.76401713456
