year,scenario,weight,fuel_cost,grid_import_cost,grid_export_revenue,res_subsidy_revenue,annual_variable_cost,fixed_om_res,fixed_om_battery,fixed_om_generator,fixed_om_total,lost_load_penalty,scope1_emissions,scope2_emissions,scope3_res_emissions,scope3_battery_emissions,scope3_generator_emissions,scope3_emissions,total_emissions,scope1_emissions_cost,scope2_emissions_cost,scope3_res_emissions_cost,scope3_battery_emissions_cost,scope3_generator_emissions_cost,emissions_cost,total_operating_cost
2026,low_demand,0.3333333333333333,11031.380598953492,0.0,0.0,24519.10871983351,-13487.72812088002,0.0,15621.957007208608,1031.0741974793625,16653.03120468797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3165.303083807951
2026,base_demand,0.3333333333333333,11031.380598953492,0.0,0.0,24519.10871983351,-13487.72812088002,0.0,15621.957007208608,1031.0741974793625,16653.03120468797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3165.303083807951
2026,high_demand,0.3333333333333333,11031.380598953492,0.0,0.0,24519.10871983351,-13487.72812088002,0.0,15621.957007208608,1031.0741974793625,16653.03120468797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3165.303083807951
2027,low_demand,0.3333333333333333,12807.630446275998,0.0,0.0,24726.76785461905,-11919.137408343053,0.0,15621.957007208608,1031.0741974793625,16653.03120468797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4733.893796344918
2027,base_demand,0.3333333333333333,14941.637160024733,0.0,0.0,24925.82896231143,-9984.191802286696,0.0,15621.957007208608,1031.0741974793625,16653.03120468797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6668.839402401275
2027,high_demand,0.3333333333333333,17629.679618872633,0.0,0.0,25120.317241105062,-7490.637622232429,0.0,15621.957007208608,1031.0741974793625,16653.03120468797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9162.393582455541
2028,low_demand,0.3333333333333333,15002.461870732732,0.0,0.0,24930.74358915402,-9928.281718421287,0.0,15621.957007208608,1031.0741974793625,16653.03120468797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6724.749486266684
2028,base_demand,0.3333333333333333,17779.284046018063,0.0,0.0,25129.959997395654,-7350.6759513775905,0.0,15621.957007208608,1031.0741974793625,16653.03120468797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9302.35525331038
2028,high_demand,0.3333333333333333,21127.72609731234,0.0,0.0,25325.01125699264,-4197.2851596802975,0.0,15621.957007208608,1031.0741974793625,16653.03120468797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12455.746045007672
2029,low_demand,0.3333333333333333,17856.899308281212,0.0,0.0,25134.895537861008,-7277.996229579796,0.0,15621.957007208608,1031.0741974793625,16653.03120468797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9375.034975108174
2029,base_demand,0.3333333333333333,21306.08304348412,0.0,0.0,25334.637846931215,-4028.5548034470958,0.0,15621.957007208608,1031.0741974793625,16653.03120468797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12624.476401240874
2029,high_demand,0.3333333333333333,25379.899294705083,0.0,0.0,25528.900276192442,-149.00098148735924,0.0,15621.957007208608,1031.0741974793625,16653.03120468797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16504.03022320061
2030,low_demand,0.3333333333333333,21398.51779373464,0.0,0.0,25339.558240419905,-3941.0404466852633,0.0,15621.957007208608,1031.0741974793625,16653.03120468797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12711.990758002707
2030,base_demand,0.3333333333333333,25599.41528516966,0.0,0.0,25538.538024424764,60.877260744895466,0.0,15621.957007208608,1031.0741974793625,16653.03120468797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16713.908465432865
2030,high_demand,0.3333333333333333,30351.776883692804,0.0,0.0,25733.68226189217,4618.094621800636,0.0,15621.957007208608,1031.0741974793625,16653.03120468797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21271.125826488606
2031,low_demand,0.3333333333333333,25712.83172020488,0.0,0.0,25543.477370408593,169.35434979628553,0.0,15621.957007208608,1031.0741974793625,16653.03120468797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16822.385554484255
2031,base_demand,0.3333333333333333,30600.253842913728,0.0,0.0,25743.358178975497,4856.89566393823,0.0,15621.957007208608,1031.0741974793625,16653.03120468797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21509.9268686262
2031,high_demand,0.3333333333333333,36005.676005342175,0.0,0.0,25940.787963918163,10064.888041424012,0.0,15621.957007208608,1031.0741974793625,16653.03120468797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26717.919246111982
