year,discount_factor,annuity_res,annuity_battery,annuity_generator,opex_expected,externalities_expected,embedded_expected,total_before_discount,discounted_total,post_horizon_annuity_tail_discounted,discounted_objective_contribution
2026,0.9523809523809523,48997.22873566487,88255.52024879323,3459.681406273195,28861.242866434808,0.0,0.0,169573.67325716608,161498.73643539625,0.0,161498.73643539625
2027,0.9070294784580498,48997.22873566487,88255.52024879323,3459.681406273195,28866.242422309035,0.0,0.0,169578.67281304032,153812.85515922023,0.0,153812.85515922023
2028,0.863837598531476,48997.22873566487,88255.52024879323,3459.681406273195,28866.24242230904,0.0,0.0,169578.67281304032,146488.43348497164,0.0,146488.43348497164
2029,0.8227024747918819,48997.22873566487,88255.52024879323,3459.681406273195,28866.24242230904,0.0,0.0,169578.67281304032,139512.7937952111,0.0,139512.7937952111
2030,0.7835261664684589,48997.22873566487,88255.52024879323,3459.681406273195,28866.242422309027,0.0,0.0,169578.67281304032,132869.32742401055,0.0,132869.32742401055
2031,0.7462153966366274,48997.22873566487,88255.52024879323,3459.681406273195,28866.242422309035,0.0,0.0,169578.67281304032,126542.21659429575,0.0,126542.21659429575
2032,0.7106813301301214,48997.22873566487,88255.52024879323,3459.681406273195,28866.242422309027,0.0,0.0,169578.67281304032,120516.39675647214,0.0,120516.39675647214
2033,0.676839362028687,48997.22873566487,88255.52024879323,3459.681406273195,28866.242422309024,0.0,0.0,169578.67281304032,114777.52072044965,0.0,114777.52072044965
2034,0.6446089162177971,48997.22873566487,88255.52024879323,3459.681406273195,28866.242422309027,0.0,0.0,169578.67281304032,109311.92449566635,0.0,109311.92449566635
2035,0.6139132535407591,48997.22873566487,88255.52024879323,3459.681406273195,28866.242422309046,0.0,0.0,169578.67281304032,104106.59475777745,312220.61312883464,104106.59475777745
